memory_point,kind,likes,reason,author,created_at,text,url
不拆承诺与1.4定海神针,post,71,粉丝点评/关系记忆表达明确,磕了爸爸妈妈,01月27日 22:49,#云熠99# 预感,https://m.weibo.cn/detail/5259832963631204
双向奔赴与爱意传递,post,71,粉丝点评/关系记忆表达明确,云熠枕星眠,02月05日 21:06,云熠星河超话 🌌 #云旗郝熠然# “云卷星熠，岁岁相依。他们是彼此眼底藏不住的光，是并肩前行时最稳的臂膀，是时光里温柔的回响。一个眸光璀璨，一个温润明朗，眉眼间的默契，岁月里的相伴，都成了独属于云熠的浪漫。磕的是双向奔赴，守的是岁岁年年，云熠同行，星河长明，爱意永藏。”@云旗Yunqi @郝熠然 L云熠Bodhisattva的微博视频,https://m.weibo.cn/detail/5263068655262761
角色作品入坑与真诚努力,post,70,粉丝点评/关系记忆表达明确,云间寻熠,今天10:34,云熠星河超话 🌌#云旗郝熠然# 还有谁是被这首歌和这几张图带入坑的？？？纵此生 也不过百岁。何必沾惹 愁滋味。莫叹去日不可追。来日犹可为。 ​,https://m.weibo.cn/detail/5295162122568679
双向奔赴与爱意传递,post,70,粉丝点评/关系记忆表达明确,上九天揽岳_7199,01月23日 12:19,云熠星河超话 🌌 #云熠星河# 1.22小🍠直播全程～镜头前，普普主动cue起弹幕关键词，明明知道云宝不擅长圆场，却还是放心地把话题抛给他——这是独属于他们的信任，是“我知道你不完美，但我愿意帮你接梗”的纵容。而云宝哪怕困到眼神迷离，只要普普有动作，他的注意力永远第一时间跟上，咖啡洒了时的快速反应，全是刻在骨子里的照顾。一个在打破常规，从完美控场者变成依赖者；一个从阳光少年长成会包容的守护者。是不用言说的眼神交汇，是下意识的肢体配合，是哪怕弹幕喧嚣，也只看得见彼此的专注。有人纠结于“不够甜”，可真正的糖从不是刻意,https://m.weibo.cn/detail/5258224874817529
双向奔赴与爱意传递,post,70,粉丝点评/关系记忆表达明确,昔螭chi,02月09日 19:08,云熠星河超话小星河宝宝们，走过路过留下一句对咱们云熠的祝福顺便救救我的号可以不 ​,https://m.weibo.cn/detail/5264488498725269
星河宇宙与引力文案,post,69,粉丝点评/关系记忆表达明确,尼古拉啾,2025年12月31日 11:52,云熠星河超话暖阳3.0—（两章合并，提前祝大家新年快乐）说完，他环顾四周似乎是在找什么。可当什么都没有的时候，他低头看了一眼奖杯，努力勾起嘴角却也难掩失落。而狂喷的香槟打断了高嘉辉的难过，在队友冲上来的瞬间，角落里那个穿着黑色风衣的人已经悄然离去。 —摩托车拉力赛车手x建筑系教授现生繁忙，不定时更新请勿上升蒸煮，ooc归我，不喜欢直接关掉部分情节，理论为虚构，请勿较真 O暖阳3.0,https://m.weibo.cn/detail/5249883126632671
星河宇宙与引力文案,post,69,粉丝点评/关系记忆表达明确,冬眠的星星兔,01月02日 17:09,云熠星河超话 🌌#云熠星河##云旗郝熠然# 🌌26年的第一句祝福送给彼此，在未来会越来约好，一起走更远的路，一起看更美的风景！小狗没说的半句话，我来替他说，希望我们的普普顺风顺水顺财神，朝朝暮暮有人疼。新的一年普普也要和77一起吃更多的好吃的，永远幸福！@郝熠然 @云旗Yunqi L冬眠的星星兔的微博视频,https://m.weibo.cn/detail/5250687707644002
角色作品入坑与真诚努力,post,69,粉丝点评/关系记忆表达明确,Nevertheless_MoMo,01月03日 18:04,云熠星河超话 🌌 #云旗郝熠然52收官# 大结局啦！以老薛的《渡》做了一个快剪游主任经历了那么多困境长大了却依然保持菩萨心肠，樊霄是从小生活在恶劣的环境中如同修罗。修罗想要拉菩萨下水揭穿菩萨伪善的假面，却发现菩萨是真菩萨，自己已经失去了那个纯粹爱着自己的人。后来一系列的火葬场追妻，两个人都找到了人生和情感的平衡点，发现彼此还是最合拍的，于是兜兜转转又在一起了。游书朗让樊霄学会了怎么去爱，樊霄让游书朗感受到了唯一且炽热的被肯定被爱，樊游是彼此的救赎和彼岸。布布是第一次演戏，偶尔掉线但依旧很努力很真诚，跟普普在一起非,https://m.weibo.cn/detail/5251063953494118
双向奔赴与爱意传递,post,69,粉丝点评/关系记忆表达明确,迷路旅行日记,01月22日 16:14,0122 云熠直播完整版O熠然：拽领带，我惯的，有意见？O云旗：我在照片里，藏起了他的一颗泪O云熠的情侣夜宵，在杭州O云熠：普吉岛的恋恋笔记 O云熠：他俩在机场悄悄牵手O网页链接O网页链接O网页链接O云熠在机场：单人沙发上的双人合约O郝先生被毛茸茸和爱意浸染的傍晚O云熠：头发乱了O到底是谁在勾引谁？O云熠的非营业手册⋆#云熠星河# L迷路旅行日记的微博视频,https://m.weibo.cn/detail/5257921551669250
不拆承诺与1.4定海神针,post,69,粉丝点评/关系记忆表达明确,ZJ-琑OK云熠,01月24日 22:41,云熠星河超话🌌 #云旗直播#20260124花间颂云旗直播录屏今天小孩哥一场线下又连着一场直播都很棒，花间颂的安排也很周到，很完美。㊗️花间颂大卖！㊗️大家顺风顺水顺财神，朝朝暮暮有人疼！㊗️我们熠旗向前走！剪掉的无伤大雅不影响观看，关注其中糖点🍬超多，大家多多赏析@云旗Yunqi @郝熠然 LZJ-琑OK云熠的微博视频 专栏 · 🌌 云熠99 🌌,https://m.weibo.cn/detail/5258743869873185
不拆承诺与1.4定海神针,post,68,粉丝点评/关系记忆表达明确,不甜甜甜甜甜草,2025年12月12日 15:43,云熠星河超话 深得朕心太配了，云熠99 ​,https://m.weibo.cn/detail/5243055930081947
不拆承诺与1.4定海神针,post,68,粉丝点评/关系记忆表达明确,ZJ-琑OK云熠,2025年12月14日 09:51,云熠星河超话 🌌 #云熠星河# 真没招了我，这个视频很正常嘛，一点暧昧都没有，不知道为什么我的抖就是发不出去，给我屏了。发了多次就是发不出去，我也是醉了，行了，我服了，我发这儿来总行了吧 跪求浪放过孩子吧视频不行转图走起吧@云旗Yunqi @郝熠然 专栏 · 🌌 云熠99 🌌,https://m.weibo.cn/detail/5243692241914325
直播互动与口头名场面,post,68,粉丝点评/关系记忆表达明确,O浪漫至死不渝oO,2025年12月29日 00:27,云熠星河超话 🌌#云熠星河# 🍬🍬🍬普：哈哈哈，我看到她们让咱俩换外套。云：现在换吗？（手已经放到拉链上想换）普：（瞪了云一眼）你同意吗？（普吃醋，普os她们让你换你就换？我同意了吗？）云肉眼可见秒怂，不再继续脱了。云：保护我…内个什么啊（保护你的什么？保护你老婆吗？怎么不说完？然后改口）保护wcn…普：哎，我里面有穿耶（T恤）云：好了好了（赶紧抱着哄）小星河：能站起来换吗？云：NO（非常坚决地拒绝），不可能！普：站起来换是不行的，但是换一下应该可以吧云：你想换？可以啊（没有半秒犹豫）普视角：你们让他（云）换不行,https://m.weibo.cn/detail/5248986120194701
星河宇宙与引力文案,post,68,粉丝点评/关系记忆表达明确,月亮说晚安安,01月05日 12:58,虽然他知道老婆是泪失禁体质，但是手掌下颤抖的身体让他没办法再理智下去“今天就聊到这里吧。”忍了半天，最终还是说出了这句话他还是做不到对着老婆的眼泪无动于衷“你关吧。”老婆这句软软的话一出来，高嘉辉毫不犹豫地点了结束直播。不顾现场工作人员的阻拦，拉起老婆直接去了别的房间“砰！”所有的声音都被拦在了门外普普直接撞进某人宽厚温暖的怀里普普无奈，“嘉辉……我们还有好多流程没走完呢……”“可是你哭了。”普普更无奈，“你知道的，我就是这个体质……”“可是你哭了。”普普只好拉下脸，假装凶狠，“我们之前不是已经讨论未来的发展方向吗,https://m.weibo.cn/detail/5251711665967164
角色作品入坑与真诚努力,post,68,粉丝点评/关系记忆表达明确,哈七七牌虎牙,01月23日 22:21,云熠星河超话 不是 救命 这是在搞什么？？？我们剧里连副cp都没有好么，这是在搞什么 …… 那里来的群像 …… 救命怎么一天天的搞事情 我们也没有很火啊 我们不是要越来越好么 不是要有二搭三搭么 我们才这么点人呀搞这些事情 真的会让刚入坑的姐妹有不好的感觉吧……说实话会看环大陆的剧其实就是这些人 就这么的流量 他们也才火这一个多月吧！请各位同担多为他们想想好么！,https://m.weibo.cn/detail/5258376416335490
演唱会奔赴与巡演回忆,post,68,粉丝点评/关系记忆表达明确,小狐狸吖_汐崽,02月06日 21:35,云熠星河超话#云旗郝熠然#🌌#云熠星河#一直反复看这个视频，看到你们俩坐一起，明明其实离kzl也过去只有一个多星期，但我为什么突然觉得恍若隔世，可能是因为最近的事情太多了，这段日子我也觉得有一些心力憔瘁，有一些疲劳，我甚至有在想，是不是慢慢会有点淡圈，但是看到你俩在的那一刻，思念如潮水一般汹涌而来，我才惊觉，我其实是那么那么的想你们了，我的爱意其实从未减去，就像一道闸口，只是被细微的杂草堵塞让水流有些缓慢，但是你们轻轻一触碰，猛水倾泻而出，我的爱意和思念就此猛烈暴露看到你们瘦了好多，听到你们在跟我们报备最近在忙的,https://m.weibo.cn/detail/5263438323395772
不拆承诺与1.4定海神针,post,68,粉丝点评/关系记忆表达明确,用户5602919307,02月11日 15:14,云熠星河超话 你不买我不买，云熠怎么天天见？你不摆我不摆，战绩怎么会好看？我们家可是目前国内我看到的敢于直接说不拆的不拆CP1.0！！！ 这份云熠给的底气就是这么权威！ 他们给我们带来的情绪价值不止一点，我们也要用心托举他们好吗？我比较敏感，不想我家被别家嘲，也看不得，听不得别人有人嘲笑。总之咱们把战绩搞上去行吗？,https://m.weibo.cn/detail/5265154225733954
旗熠青海与应援色,comment,68,粉丝点评/关系记忆表达明确,上九天揽岳_7199,Sat Mar 21 17:46:47 +0800 2026,以后每次见面都给他们一片旗熠青海，郝吗,https://m.weibo.cn/detail/5278961179296965
角色作品入坑与真诚努力,post,67,粉丝点评/关系记忆表达明确,Nutty小栗,2025年12月31日 11:00,云熠星河超话⭐#云熠新年联合产出# 🎆#END·2025# 【END·2025】 云熠新年12h联合产出@小栗快快乐乐 ＆@Alisaloveyou- 《蜚蜚》丨樊霄×游书朗丨樊游这场用谎言开始的爱情，本该在真相大白时就彻底结束。可当他真的转身离去，他却在雨夜里寻觅那个身影——原来流言替他粉饰太平时，他早已在悬崖边爱得自欺欺人。K蜚蜚 O蜚蜚。,https://m.weibo.cn/detail/5249870039620405
小星河与引力场守护,post,67,粉丝点评/关系记忆表达明确,熠然赴山海_,01月12日 08:16,云熠星河超话 🌌#云熠星河# 从追《52》到现在，你们发的糖甜到心坎里，早就成了刻在追剧清单里的珍藏。真心盼着你们能做一辈子的挚友，成为血缘之外最亲的家人——无论未来是哪种关系，只要不是“没关系”就好。 愿你们此后戏路越走越宽，解锁更多优质作品，在热爱的舞台上闪闪发光；愿你们在纷扰的声音里守住初心，不必理会那些刺耳的杂音，只管做最真实的自己，开心自在就好。 岁月漫长，愿多年以后你们依旧并肩同行，友谊历久弥新。我们会一直在这里，陪你们一起，携手走花路，越来越好！云熠99@郝熠然 @云旗Yunqi @云熠引力场,https://m.weibo.cn/detail/5254177584319017
不拆承诺与1.4定海神针,post,67,粉丝点评/关系记忆表达明确,三七二十一_bx,01月24日 22:45,云熠星河超话 对，专注你俩，云熠99@云旗Yunqi @郝熠然 L三七二十一_bx的微博视频 ​,https://m.weibo.cn/detail/5258744797070928
小星河与引力场守护,post,67,粉丝点评/关系记忆表达明确,沐悦琛,01月31日 21:36,#云熠星河# 🌌#云旗郝熠然# 啥也不说了，太宠孩子了，小星河C位出道，看似没有普普，都是一起走过的风景 ​,https://m.weibo.cn/detail/5261264214297471
演唱会奔赴与巡演回忆,post,66,粉丝点评/关系记忆表达明确,仲夏将离,04月06日 22:06,❤️澳门演唱会Day1｜郝熠然×云旗（官摄）🍀郝熠然《我只在乎你》的专属宠粉名场面 谁懂啊家人们！唱完《我只在乎你》直接被郝熠然暖哭😭 说选这首歌的理由：“此时此刻，只有这首歌能代表我的心声”唱完直接掏出自制小球球当礼物全程碎碎念提醒粉丝注意安全这是什么神仙宠粉行为！ 歌声是给粉丝的专属告白礼物是藏在细节里的惦记双向的温柔永远最戳人！云熠星河超话 L仲夏将离的微博视频,https://m.weibo.cn/detail/5284827037439333
直播互动与口头名场面,post,66,粉丝点评/关系记忆表达明确,PuerCream_星冰乐,04月01日 00:42,云熠星河超话 🌌#云熠星河# 是《怦然心动》朱莉爬梧桐树看风景的名场面吧！ “我爬得越高，眼前的风景便越发迷人” “有些人浅薄，有些人金玉其外而败絮其中。但总有一天，你会遇到一个彩虹般绚烂的人，当你遇到这个人后，会觉得其他人都只是浮云而已。” 曾经纠结的过往不值一提，曾经放不下的执念也会烟消云散。真正实现自我成长需要学会“放下”与“前行”，是不再把爱情当作生命的全部，而是先活成自己的光，再去遇见那个同频的人。 越去了解郝熠然老师，就越容易喜欢上他。不仅仅是一张帅脸！从他几次采访花絮和zb不经意的谈吐就会发现他是一,https://m.weibo.cn/detail/5282691768386840
星河宇宙与引力文案,post,66,粉丝点评/关系记忆表达明确,悦悦悦己_A,04月17日 09:48,云熠星河超话 🌌#云熠星河# 我向月亮许愿——愿它清辉长伴云旗和郝熠然的星途。愿你们的幸福如月之恒，圆满而恒久；愿你们的快乐如星之烁，细碎却闪亮。此后每个日夜，愿笑有回声，泪有慰藉，疲惫时有相拥的温暖，白发时有不悔的回忆。月亮替我记着这份心意：云旗和郝熠然，要永远永远幸福快乐。 L悦悦悦己_A的微博视频,https://m.weibo.cn/detail/5288627389334081
星河宇宙与引力文案,post,66,粉丝点评/关系记忆表达明确,Kailin_xl1220,04月17日 00:00,云熠星河超话 🌌 #云熠星河# 呀，看点两个人的甜蜜回忆录，我们走了很长很久，依旧对云熠全肯定 LKailin_xl1220的微博视频 ​,https://m.weibo.cn/detail/5288479382574783
星河宇宙与引力文案,post,65,粉丝点评/关系记忆表达明确,素羽_Lili,今天20:26,#云熠星河# 🌌#云旗郝熠然# 旗熠青融昼夜，云与光共生浪漫，这是独属于他们的宇宙级温柔。云熠99 ​,https://m.weibo.cn/detail/5295310960332466
不拆承诺与1.4定海神针,post,65,粉丝点评/关系记忆表达明确,如廿清禾,03月18日 10:04,云熠星河超话 🌌#云旗郝熠然# 来来来，回顾一下1.4不拆名场面！云总要名分，普普回应！云熠双向奔赴云熠星河双向奔赴@云旗Yunqi @郝熠然 L如廿清禾的微博视频 ​,https://m.weibo.cn/detail/5277759979913450
角色作品入坑与真诚努力,post,65,粉丝点评/关系记忆表达明确,心云郝girl,01月03日 21:04,云熠星河超话⭐ #云旗郝熠然52收官#分享自己看完剧的真情实感:《52》这部剧给我带来很多惊喜！最让我满意的是这部剧真的一比一还原了很多小说的情节，无论是剧情还是场景还是演员或者导演或者工作人员，真的，很感谢你们，谢谢你们拍出来这么好的效果😭其实之前知道要拍剧我还很担心来着，因为自己看过小说，一般来说，看小说的人都不怎么喜欢自己看的小说被翻拍，但是，《52》这部剧真的给我很大惊喜，小说里面很多细节竟然真的拍出来了，拍的还比我预想的还要好！《52》这部剧我到现在已经看了100+遍了，每一遍都会发现各种细节的拿捏，每,https://m.weibo.cn/detail/5251109310436231
角色作品入坑与真诚努力,post,65,粉丝点评/关系记忆表达明确,月亮说晚安安,01月13日 00:08,在得知“如果樊霄在被追杀的时候就真的死了”的答案是：会每年去坟头祭拜，添添还得有人照顾时高嘉辉无法形容自己的心情re结束之后也还在闷闷不乐普普敏锐地感受到了他的情绪变化，但是又无法给到他想要的答案，毕竟游主任的前半生就是这样，一直为了别人而活，他没办法做到抛下添添追着樊霄而去“过来，抱抱。”嘉辉嘴巴扁扁，巨型乳燕投林般把自己塞进普普怀里，“我知道游主任的选择是对的，但是我还是有点难过……樊霄那么爱他，为他做出那么大的改变，他都不会知道了……”“我知道，我都知道。”普普沉默片刻，又加了一句，“就算我不知道，诗力华也会,https://m.weibo.cn/detail/5254417094018044
不拆承诺与1.4定海神针,post,65,粉丝点评/关系记忆表达明确,You_Decide,01月23日 14:26,云熠星河超话#卡姿兰 云熠星河久久不拆# 家产实在貌美，小星河就是买买买，托举！ ​,https://m.weibo.cn/detail/5258256918250744
不拆承诺与1.4定海神针,post,65,粉丝点评/关系记忆表达明确,Josan豆豆,01月24日 08:44,云熠星河超话#云旗郝熠然# 忍不住吐槽几句1.你遇到没事找事，🧹操作不断的领导，也是直接吵架，掀桌子？还要工作呢，活没干完呢？2.你会把所有同事都处成朋友？不管同事人品好不好，你也要打招呼，正常社交啊！那个圈子单打独斗合适吗？就两个人相依为命就能好了？3.不要打着为谁好的旗号乱舞，防人之心不可无没错，但对于还没有的事，去扩大事态，弄得乌烟瘴气，没苦硬找吃，我也是醉了。4.不要小看了自家正主，自从四人直播变双人直播，哪次不是处理的妥妥当当、体体面面，非常优秀好不好，作为粉丝多多学习点好的！各位路还很长，就这？啥也不,https://m.weibo.cn/detail/5258533094555950
小星河与引力场守护,post,65,粉丝点评/关系记忆表达明确,Jasmine丶锦瑟,01月27日 16:31,云熠星河超话🌌#云旗郝熠然# 🌌始于作品，陷于人品🌌༄༆热爱可抵岁月漫长，置顶可证初心不忘༺。 用理性守护热爱，用陪伴回应温柔， 偏爱从一而终，愿君万丈光芒。✨万里星河为证，熠为朝，云为暮，卿（青）为朝朝暮暮！✨以小星河之名，赴一场双向奔赴的约定，你们只管全力以赴，我们负责保驾护航！@郝熠然 @云旗Yunqi O网页链接 L竹木凉音的微博视频,https://m.weibo.cn/detail/5259737947963556
不拆承诺与1.4定海神针,post,64,粉丝点评/关系记忆表达明确,YE-星河气泡水,04月27日 22:01 转赞人数超过20,云熠星河超话 🌌#云熠星河#送给所有姐妹们一段话！我们不需要内耗！更不需要怀疑自己！双人的C位合照、引力场的回复都在证明我们的选择没有错！从始至终我们都坚定1.4正主的“不拆”，现在喜提4.26的不拆2.0！我们从来不曾怀疑过正主的真心，一直都是坚定的云熠全肯定。所以我们不用怀疑自己，我们自己的真心，需要向别人去证明吗？不需要！！！当初，我们是顶着谩骂一步步走出来的，到现在，我们更应该不在乎那些声音享受此刻的成果！！我们爱意只需要向云熠证明，不需要向别人证明！！！ 蘸豆粉没有怂包，我们赢了未来，我们不需要内耗！累,https://m.weibo.cn/detail/5292356181951986
直播互动与口头名场面,post,64,粉丝点评/关系记忆表达明确,2025鱼岸,2025年12月20日 11:56,云熠星河超话 全球市场来啦！小星河们，星空起航啦啦了,https://m.weibo.cn/detail/5245897957181179
同框默契与并肩感,post,64,粉丝点评/关系记忆表达明确,甜份超标的我,01月05日 09:34,云熠星河超话 🌌#郝熠然云旗直播唱歌# 小星河想对云熠说： 若为挚友，祝你们鹏程万里，高处相见时，笑容依旧如少年。 若为知己，祝你们恰似知音共谱，在各自的领域奏出惊世和弦，声动云霄。 若为伴侣，祝你们不仅朝暮浪漫，更能携手摘星，让两个人的梦想，照亮更远的天空。 愿你们脚下的路皆是虹桥，愿你们头上的天永远星辰浩瀚。我们始终与你们，万丈光芒同行。 @郝熠然 @云旗Yunqi,https://m.weibo.cn/detail/5251660403705985
不拆承诺与1.4定海神针,post,64,粉丝点评/关系记忆表达明确,久久沐熙,01月22日 16:54,云熠星河超话 1殉情这个话题真的很隐私，布布本身就不愿意在大庭广众之下让所有人都窥探到他的内心世界，他对普普的情感有好几次在直播间里面他都不愿意探讨，再说了，如果他说想让普普殉情，那就会有人骂他自私，如果他说不想又会有人说他虚伪，这种问题也不吉利，何必要拿出来一直说一直说，他也是人啊，不能把他的内心都给扒得光光的呀，再打一个比方，如果你和你的对象在谈恋爱，有一群闺蜜或者好兄弟问，如果你死了，你希望你对象会怎么怎么样，这种问题放在我们正常人的身上，那就是踩雷，不生气不挂脸，已经算是很好脾气了。生死之事，对于在意的人,https://m.weibo.cn/detail/5257931609605411
不拆承诺与1.4定海神针,post,64,粉丝点评/关系记忆表达明确,爱上一颗王星星,01月24日 08:28,云熠星河超话 云熠99#云熠99# 不磕的同学不要影响磕的同学，你一个人咯噔一分钟，咱们班几百万人就是几百万分钟，多少人想磕都没这条件呢，你们能在这好好的磕是多不容易的一件事，要珍惜，不磕的同学安安静静地走，不要在下面讲小话影响到认真磕的同学，就几个同学一直在那吵吵吵，全年级都听到了，影响我们 云熠班的班级荣誉 ！云熠99,https://m.weibo.cn/detail/5258529036305842
星河宇宙与引力文案,post,64,粉丝点评/关系记忆表达明确,小圆饼干_y,01月27日 09:26,演员云旗超话 yq. #云旗# 早起看到战报的那一刻，真的很激动 第一次双人sw这个战绩，也少不了各位冰旗凌的支持和托举!小星河在这里感谢各位的支持!大家真的都很厉害! 然后谢谢所有ppf的信任，相信后面会有更多ppf加入和选择! 未来的路还很长，让我们继续一起把云熠托得更高吧✨“云熠同频，星河共鸣”@云旗Yunqi,https://m.weibo.cn/detail/5259630829898623
同框默契与并肩感,post,64,粉丝点评/关系记忆表达明确,Jason琑云熠,02月09日 22:51,云熠星河超话 🌌 #云熠星河# 默契大考验：有时候没默契的也是一种默契的呢没默契那一刻两人对视突然一笑，好甜蜜，这更默契啊不过好羡慕那个让高嘉辉往回划弹幕的小橙子（我也不知道哪个cheng）祝你生日快乐，天天开心！！@云旗Yunqi @郝熠然 LZJ-琑OK云熠的微博视频 专栏 · 🌌 云熠99 🌌,https://m.weibo.cn/detail/5264544454937135
直播互动与口头名场面,post,63,粉丝点评/关系记忆表达明确,抬头有星河99,03月20日 09:20,特别感谢递烟名场面，很感恩自己是个受控，更为自己的好奇心鼓掌，一发不可收拾，前路未知，我们一起走云熠星河超话 #云旗郝熠然#,https://m.weibo.cn/detail/5278473553184549
星河宇宙与引力文案,post,63,粉丝点评/关系记忆表达明确,菻庚芏,04月23日 16:54,云熠星河超话 ❤️#云旗郝熠然#你们的每一次出现，都像是一场精心策划的宇宙级别的浪漫。希望我们的回忆都美好，未来都璀璨 L菻庚芏的微博视频 ​,https://m.weibo.cn/detail/5290908893315591
演唱会奔赴与巡演回忆,post,63,粉丝点评/关系记忆表达明确,O浪漫至死不渝oO,01月03日 20:24,云熠星河超话 🌌#云熠星河##云旗郝熠然52收官# 心理委员，我不得劲我不得劲我不得劲我不得劲我不得劲我不得劲，🛏️戏那么短还插回忆！！！！！！！！！！我们想看的是什么你们真的不知道吗 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊谁允许了？那么仓促就结束了！！！到底谁允许？！！我要闹啦！！！！！我要看这段的完整花絮，立刻马上@云旗Yunqi @郝熠然,https://m.weibo.cn/detail/5251099265077766
角色作品入坑与真诚努力,post,63,粉丝点评/关系记忆表达明确,Oo熊本熊是战斗熊oO,01月11日 11:48,云熠星河超话 剧里你一直为了演好樊霄，不敢露牙笑，他们说你面瘫，感情不丰富，演技不好，可是樊霄就是这样一个性格冷淡得人。剧外你总是像小狗用怼怼怼伪装自己，一些恶评你总是开着玩笑就过了，最后一集的直播，你为了不破坏观众心中樊霄的形象一直强装的不肯流泪，后来普普哭了，你更没有了哭的立场，你要哄好他，调整好自己，不然两个人一起哭简直直播事故，直到昨天你读信读到粉丝让你做自己，才忍不住猛男落泪，你的一路还算顺利，突如其来的热度让你收获许多关注，有鼓励也有恶评，23岁的你还不知道如何融合这些问题，时常忍不住漏出自己的小獠牙,https://m.weibo.cn/detail/5253868327015442
双向奔赴与爱意传递,post,63,粉丝点评/关系记忆表达明确,迷路旅行日记,01月20日 22:11,郝熠然说的“我想要两颗西柚。” 字面是水果，底下却藏着密码。不是复杂的暗语，是几乎带着点学生气的小聪明——I want to see you。把想念掰开，揉碎，藏进两个橙红色饱满多汁的水果里。这是一种含蓄的直白。直白的是想见你的心，含蓄的是，偏要用一层果皮把它包起来。这很像熠然的作风。不是火山喷发式的告白，而是温柔的诉说。他把情绪处理得如此得体，连思念都带上了一点清爽的酸涩感，像西柚本身的滋味。他不是在抛出一个灼人的问句，而是在陈述自己已经确认的事实：“我想见你。” 所以，这不仅仅是一个谐音哏。这是一个温柔的人，在,https://m.weibo.cn/detail/5257286769445196
小星河与引力场守护,comment,63,粉丝点评/关系记忆表达明确,花开莫负,Sun Apr 26 23:21:19 +0800 2026,我只能说正主很好，引力场也是我磕cp这么多年以来遇到的最正规的后援会，正主说不拆，引力场指出的问题都是事实，引力场和战斗粉都很牛，一直努力维权，很佩服她们，因为在意所以才会付出这么多时间精力，现在hg一句不拆，搞得双方都有点像是被背刺了一样，只能说看后面怎么做吧，说谁都会说,https://m.weibo.cn/detail/5292092042776513
角色作品入坑与真诚努力,post,62,粉丝点评/关系记忆表达明确,李甜宰,2025年12月16日 22:48,云熠星河超话 正主比我会磕系列出现了昨晚上郝老师直播说为什么轻飘飘的揍樊霄 因为不想扯平 靠！！这是我从来没当到过的点！你就是天选游书朗啊！！你比我想象中还要爱樊霄啊！！！原来爱情的酸涩只有当事人才明白还有今天的300字！！！天呐‼️不管日后如何，这是我们一起走过的一点抹不掉的证明诡秘！你的一句不想扯平 ，真的治好了我对樊霄的恨，治好了我心里的不得劲,https://m.weibo.cn/detail/5244612416902183
小星河与引力场守护,post,62,粉丝点评/关系记忆表达明确,还是好困困困z,2025年12月29日 14:54,云熠星河超话 ☁️旗、普普，我们知道最近有不少乱七八糟的声音在困扰你们，但请一定别往心里去呀～ 我们比流言蜚语先认识你们，见过你们并肩时眼里的光，记得你们相处时的真诚与美好，这些都不是黑粉的恶意能抹去的。你们只管坚定做自己，继续在热爱的道路上闪闪发光，我们会一直站在你们身后，做你们最坚实的后盾，用爱意把那些恶意都挡在外面。（如果实在坚持不住感到难过就来超话和粉丝群看看我们，看看我们满满的爱） 你们值得所有温柔与偏爱，不必被无关的声音消耗，相信自己，也相信我们这份跨越距离的真心——我们会陪你们走过每一段路，从籍籍无,https://m.weibo.cn/detail/5249204119144820
不拆承诺与1.4定海神针,post,62,粉丝点评/关系记忆表达明确,我爱云旗普普,01月12日 20:56,云熠星河超话 从四号开始一直听到了很多不一样的声音，所以我又来发表自己的见解啦！（我是磕cp的，不是磕兄弟的，如果有人觉得他俩不是爱情，那么请绕步走）四号直播堪称是甄嬛滴血认亲和明兰摔筷子相比的名场面，在这次直播之前，我磕他俩磕的特别难受，因为害怕他俩是在卖，我真的不想让他俩特意卖给我看，我要的是真情实感！但这次之后我坚定相信他俩是真感情，因为这虽然是我第一次追星，但也知道“拆cp”是个很敏感的话题，不应该在直播间说的，刚开始云旗说“她们说拆拆拆是什么意思啊”的时候我也没反应过来，到最后反应过来了，我还在发弹幕说,https://m.weibo.cn/detail/5254368674972257
不拆承诺与1.4定海神针,post,62,粉丝点评/关系记忆表达明确,雾城以念,01月23日 22:44,云熠星河超话 #卡姿兰 云熠星河久久不拆#,https://m.weibo.cn/detail/5258382108000538
旗熠青海与应援色,post,62,粉丝点评/关系记忆表达明确,普布生活平安快乐,01月30日 21:40,#云熠星河# 郝熠然超话云熠星河超话旗熠青真是美好的颜色，每一次敲击“青”字都仿佛摩挲了一遍你们的名字。,https://m.weibo.cn/detail/5260902699896308
不拆承诺与1.4定海神针,post,62,粉丝点评/关系记忆表达明确,沐悦琛,02月03日 12:48,#云熠星河# 🌌#云熠星河久久不拆# 引宝太棒了，爱死你了，大家都站起来郝嘛，继续干活，我们不是一个人，我们是正主认证的官方粉丝团，我们统一战线，干活又有劲了 ​,https://m.weibo.cn/detail/5262218356589431
小星河与引力场守护,post,62,粉丝点评/关系记忆表达明确,小黄小画家,02月04日 21:34,云熠星河超话 🌌#云熠星河# dddd🈶终于记得了画了小普洱和小星星(图一)🈶还画了一把伞在小星星上面，我们也有人保护了吗直播间内容极多(图二)🈶游主任，演唱会，小星河Q郝大胆🈶(高大勇郝大胆，dddd)“现在世道这么难，不胆大一点，怎么护得住身后的千军万马”是啊这世道太难了，美好的人总是被处处刁难处处受限，但是我们来了，让我们一直做最勇敢的人，最后hf听到没，老子郝熠然罩的我们🈶，含金量好高啊，看过“我们直播吗”，当然看过，每场不落我们🈶×2，他说我们很坚强，像这个小玩具一样，被扎满了刀，也绽放的很好看，是安慰,https://m.weibo.cn/detail/5262713093884731
