memory_point,kind,likes,reason,author,text,url
生日生贺与小小迪陪伴记忆,post,3935,粉丝点评/记忆表达明确,冷面女杀手突突兔兔,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊哈哈哈啊哈哈啊哈哈哈啊哈哈啊哈哈哈啊哈哈啊哈哈哈啊哈哈啊哈哈哈啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈属实没想到这么好笑又土又上头谁懂！！#迪丽热巴0603生日快乐# 冷面女杀手突突兔兔的微博视频,https://m.weibo.cn/detail/4772021701707545
白日提灯贺思慕/女鬼鬼王记忆,post,3903,粉丝点评/记忆表达明确,Limerence0603丨迪丽热巴,#迪丽热巴贺思慕# 260401 #白日提灯# 追剧团 拜托，人类很少可爱成这样子吧！ @Dear-迪丽热巴 #今日星拍放送# Limerence0603丨迪丽热巴的微博视频,https://m.weibo.cn/detail/5286864421389001
演员成长与角色群像评价,post,3901,粉丝点评/记忆表达明确,潮流精神病人,迪丽热巴和杨紫这几年的路子确实不太一样，说差距倒不如说方向偏了。 杨紫的古装剧质感确实稳，哪怕是同类型题材，她总能靠演技把角色磨出点新意，看着就很顺。但热巴呢，异域长相其实是特色，可古装造型总没把这特色融进去，反而显得有点格格不入，确实可惜了。 《白日提灯》里她和陈飞宇站一起，感 ...全文,https://m.weibo.cn/detail/5279838153736709
嘻嘻迪/表情包/可爱梗,post,3897,粉丝点评/记忆表达明确,满身少年气,太可爱了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑疯了我,https://m.weibo.cn/detail/4389017367361021
嘻嘻迪/表情包/可爱梗,post,3897,粉丝点评/记忆表达明确,昊昊酷,要被热巴笑死了但是好可爱,https://m.weibo.cn/detail/4389016453722145
枭起青壤/聂九罗表演突破,post,3889,粉丝点评/记忆表达明确,阿葱,#普通人是迪丽热巴赋予聂九罗的原点# 没人能不爱迪丽热巴明媚又舒朗的面庞，「枭起青壤」里聂九罗每次出现都会牢牢吸引住人的视线和目光。但是越看越会觉得，阿罗最可爱的地方， 恰恰就是她身上最宝贵的属性，这个属于聂九罗的角色原点，叫做「普通」。 属于聂九罗的「普通」，并非是平庸活着黯淡，而 ...全文,https://m.weibo.cn/detail/5240909005330040
演员成长与角色群像评价,post,3863,粉丝点评/记忆表达明确,EMMA眉菲色舞,#迪丽热巴# 转了一圈我都心疼咱热热了。我发觉咱热热的压力真有可能不是别人给的，就是粉丝给的。要求也太严格了吧。我老公和我同事看到热巴都觉得很厉害了。粉丝却一顿要求。热巴太累了，和演员比演技，和爱豆比妆发，比舞台效果，和男流量比人气。更要和自己比，必须要一次比一次惊艳才行。怎么就有人这么爱对妆发什么的指手画脚呢。有没有想过，你觉得不好看真有可能是你自己没见过世面。一成不变有意思么？你去哪里找这么多才多艺全面的人啊。会演会跳还可以唱（毕竟,https://m.weibo.cn/detail/4455689273345846
李长歌与《长歌行》角色记忆,post,3844,粉丝点评/记忆表达明确,月熊soso,李长歌这个角色其实会让我一直对迪丽热巴有滤镜…长歌行让我对吴磊也有隼的滤镜 我们歌隼真的 从头到尾双向奔赴 没有俗套情节 就算是在不同立场也都是在为了百姓为了天下的清明 鸟蛋长情 长歌行剧粉长情不是没有道理的 长歌行值得,https://m.weibo.cn/detail/4926011303003557
爱丽丝与热巴的双向奔赴,post,3837,粉丝点评/记忆表达明确,是胖小迪啊,亲签代表这是她本人的心意，没见到她本人就让亲签陪伴大家🥹 胶片相机是让大家多拍拍自己多拍拍周围的风景，这样粉丝拍下的每张照片都有她的参与和陪伴🥹 有价的礼物和无价的爱都有了，她真的很爱我们 这个迪丽热巴咋这么好哇🥹,https://m.weibo.cn/detail/5286913338507494
白日提灯贺思慕/女鬼鬼王记忆,comment,3813,粉丝点评/记忆表达明确,爱Ali丝,"“我的法度,不可忤逆”！渡万千游灵归墟，舍一身五感尘凡，3月28日本周六中午12点来看归墟最强万灵之主贺思慕，不见不散～",https://m.weibo.cn/detail/5279940612196936
白日提灯贺思慕/女鬼鬼王记忆,post,3807,粉丝点评/记忆表达明确,地球圈养珍稀物种,没错， 热巴的剧我以前也常看，但是看了白日提灯这部剧后直接垂直入坑，开始学转发，要怎么编辑文字推荐白日提灯，要怎么站内打分，站内表白的，天知道我一个34岁的老阿姨以前都没有接触过这些东西，最多是点赞，直接转发,https://m.weibo.cn/detail/5289849623940791
纪云禾与鲛人系角色记忆,post,3761,粉丝点评/记忆表达明确,开心大大重要,#迪丽热巴恰似故人归# @Dear-迪丽热巴 #迪丽热巴纪云禾# 耶嘿我来了 迪丽热巴纪云禾恰似故人归与君初相识,https://m.weibo.cn/detail/4753217378058953
新疆舞与舞台表现名场面,post,3725,粉丝点评/记忆表达明确,诀泯,迪丽热巴在创造营2019带来经典的《爱你》舞蹈，这谁顶得住啊！ L诀泯的微博视频 ​,https://m.weibo.cn/detail/5271975887897829
白日提灯贺思慕/女鬼鬼王记忆,post,3641,粉丝点评/记忆表达明确,Natalishi,"【泰国韩流媒体平台Korseries更新】泰国韩流媒体平台Korseries在其他平台更新了贺思慕@Dear-迪丽热巴 相关翻译：追到第7集了，已经不记得“好美”这两个字喊了多少遍!!!!! 真的要疯了——彻底输给这部剧里迪丽热巴的颜值！每一帧都美到窒息，扛不住啊。万灵之主这个角色真的太适合她了，1,000,000%契合！完全懂为什么选她来演，因为这不仅仅是漂亮，这种女王气场真的可遇不可求✨ 角色和演员互相成就，绝配顶配天仙配😍😍😍#迪",https://m.weibo.cn/detail/5282665848637780
演员成长与角色群像评价,comment,3620,粉丝点评/记忆表达明确,Linnunratata_候鸟,一人双身，双面人生！@Dear-迪丽热巴 全新挑战奇幻设定，化身卫蓝开启“我与我”的博弈冒险。从惺惺相惜到反目对决，演技高光拉满，带你走进一场充满悬念与共鸣的女性成长之旅。期待早日和卫蓝见面！期待演员迪丽热巴的精彩演绎！,https://m.weibo.cn/detail/5289377796460765
白日提灯贺思慕/女鬼鬼王记忆,post,3535,粉丝点评/记忆表达明确,迪迪卫研究所,迪丽热巴超话 三亿六千万📣‼️贺思慕角色热度再创新高‼️热播期还没完，3.8亿角色热度不是梦‼️爱丽丝们一起努力好不好？每天最少【一百万】以上角色热度，如果每天【两百万】，我们能挑战四亿‼️💖每天都有免费的角色热度微博正文还能攒金币或用VIP积分换礼物送贺思慕‼️每天坚持每个浩都做满‼️有能力的可以用钻石送礼物‼️不懂的可以加贺思慕角色热度群（二） 多做还有奖励💖挂播对《白日》提灯剧热度和集均都很重要🔺不论你有设备但没浩，有浩没设备，,https://m.weibo.cn/detail/5294198039252743
机场饭拍与日常陪伴片刻,post,3519,粉丝点评/记忆表达明确,知名冲浪达人,#偶遇明星有多快乐# 机场怕是偶遇明星的胜地吧！迪丽热巴、范丞丞、赵政豪、李希侃、李宇春...连路过的阿姨都跟着拍，虽然不认识，但隔着屏幕都能感受到阿姨的喜悦还有在大理偶遇周迅一起吃饭，感觉全世界的人都在偶遇明星，而我只能在家抠脚 L八组兔区鲜报的微博视频 ​,https://m.weibo.cn/detail/4543910742066105
花少/你好星期六等综艺片刻,post,3478,粉丝点评/记忆表达明确,写手,秦岚迪丽热巴 把浪漫诠释到极致 真的会被花少团的友情感动到破防！新一期《花儿与少年》中，秦岚和迪丽热巴作为团长，偷偷给花少团准备了浪漫的海边晚餐，买了大家喜欢的食物。从准备到购置东西再到布置现场都体现了秦岚和迪丽热巴满满的心意。而花少团的反应也很好哭，“太棒了吧”“你们也太可爱了” ...全文,https://m.weibo.cn/detail/4978530240693042
枭起青壤/聂九罗表演突破,post,3447,粉丝点评/记忆表达明确,青崖寻酒,老天爷啊 聂九罗梦里见到妈妈这段热巴真的太会演了😭😭 一开始听到妈妈和自己讲话时的惊讶，确认妈妈真的在和自己讲话时绷不住委屈眼泪决堤，不敢相信小心翼翼的抱上妈妈。确认真的抱住妈妈后把头埋得更紧，三声妈妈，每一声都情绪更浓烈，哭得像小孩子🥹阿罗已经长大了，可妈妈还一直是记忆里 ...全文,https://m.weibo.cn/detail/5240939707629692
红毯神图与高定封神造型,post,3400,粉丝点评/记忆表达明确,FashionModels,用18套女明星们#2021年度最美红毯造型# 和即将过去的一年说再见！2021年的经典红毯造型，不再只有性感的裹身裙和梦幻的大裙摆，我们也见证了更多裤装造型的精彩！感谢在过去的一年中，她们为我们奉献的美丽！刘雯 Angelababy 倪妮 邱天 范冰冰 迪丽热巴 钟楚曦 舒淇 刘诗诗 何穗 张小斐 宋茜 周冬雨 金晨 童瑶 （排名不分先后）,https://m.weibo.cn/detail/4720546191774015
白日提灯贺思慕/女鬼鬼王记忆,post,3294,粉丝点评/记忆表达明确,为你飘落了一片雪,#白日提灯观后感#本来没抱太大期待点开《白日提灯》，结果直接熬夜追更，越看越上头，现在满脑子都是贺思慕和段胥！追《白日提灯》上头到熬夜！这古偶真的太对我胃口了！ 真的是电影级别的质感啊，《流浪地球》团队做的特效真不是吹的，1900多个特效镜头，不管是贺思慕的鬼王力，还是26米高的归墟城 ...全文,https://m.weibo.cn/detail/5283402069839339
演员成长与角色群像评价,post,3249,粉丝点评/记忆表达明确,高雅枭士,半夜出来聊聊 平台如何我无法改变 但我能尽自己小小的力量让贺思慕角色热度更上一步 手搓弹幕和挂播是一定不能放弃的 愿意出米就出 基础任务一定要做 干就完事了 珍惜她辛辛苦苦拍出来的作品 难以忘记她抱着热水瓶的那个冬天 我永远把演员迪丽热巴的作品摆在第一位,https://m.weibo.cn/detail/5283059689587153
新疆舞与舞台表现名场面,post,3208,粉丝点评/记忆表达明确,芒果捞智多星,迪丽热巴：春晚会邀请你俩演小品 你们辛甘秦愿一天天的就在大家面前舞，连巴巴都说出观众的心声了，赶紧打包上春晚去演小品吧哈哈哈哈#花儿与少年# 芒果捞智多星的微博视频,https://m.weibo.cn/detail/4990783967201305
爱丽丝与热巴的双向奔赴,post,3149,粉丝点评/记忆表达明确,洋葱加点料,#热巴后援会发了时装周应援公告# 爱丽丝真的好爱热巴，虽然热巴因不可抗力无法出席时装周，但爱丽丝的爱不会缺席，希望热巴一切顺利平安，后援会说我们都非常爱你牵挂你。,https://m.weibo.cn/detail/5272448196153817
生日生贺与小小迪陪伴记忆,post,3108,粉丝点评/记忆表达明确,Dear-Antidote,#迪丽热巴能量月# #迪丽热巴0603生日快乐# 是因为心跳过过过过过过过快死的//@迪脱脱:最后一秒我当场去世//@予你星辰:姐姐的98K🔫,https://m.weibo.cn/detail/4234655433210769
行走的油画/神女美貌出圈,post,3104,粉丝点评/记忆表达明确,苏小寒_0603,#迪丽热巴金色吊带裙# 【粉丝没有路人会夸系列】今天又是美貌出圈的一天，请@Dear-迪丽热巴 接受来自凡人的夸赞。“怎么形容她的美，这道题太难了”“感觉加上一束光，她分分钟能脱离尘世，飞升云端”“看了都感觉吸了几口仙气，精神气顺了”“以后脑海中所有美人鱼都有了实体参照”“明明长了一副祸害众生的妖艳脸，却偏偏带有一股孩子气”“天使的面庞，魔鬼的身材”“国家非物质文化遗产”“借用一句话这是女娲捏的，我是女娲甩的泥点子”“刚想说那句美人在皮,https://m.weibo.cn/detail/4223589819051752
嘻嘻迪/表情包/可爱梗,post,3096,粉丝点评/记忆表达明确,冰染倾迪,让我也来加入属于我们虽不拥的燃冬赛道吧 哈哈哈哈🍠人们好有梗,https://m.weibo.cn/detail/5289846329312993
演员成长与角色群像评价,post,3091,粉丝点评/记忆表达明确,坡上有瓜,路人、剧粉看剧情，某些人就盯着广告…看过迪丽热巴《白日提灯》的都说好，迪丽热巴贺思慕角色热度破2亿了、全网涨粉几十万了、出圈台词表情包有了、迪丽热巴又美出圈了、迪丽热巴演技又被夸了！史诗级巨扑的当然体会不到什么是全好评的快乐#白日提灯第28集无广# ​,https://m.weibo.cn/detail/5285901489410483
行走的油画/神女美貌出圈,post,3049,粉丝点评/记忆表达明确,地狱里的一角游乐场,你们不知道贺思慕绝美写真的预热效果有多好。这两天，我看到有画手圈的老师在赞美转发古风写真，小说圈的作者想要在修真文里加入一个类似角色，读者盛赞贺思慕为无限流最大诡异，cos圈收藏讨论鬼魅妖孽聊斋造型，动漫圈88×镜玄cp旧频重提，更不提被女尊和修罗场题材吸引入坑的路人观众了。。事实证明，极致的美貌就是拥有恐怖的打破圈层能力，让毛毛们剧宣安利顺利到丝滑得像一根狡猾的宽粉流出，事半功倍。我看到路人自发拥护迪丽热巴古装真神的评价只觉得委屈像开,https://m.weibo.cn/detail/5279235487041566
迪拜报平安/守护型记忆,post,3023,粉丝点评/记忆表达明确,半只小辰,迪丽热巴 爱丽丝有太多的话想对巴巴说了，但是听到巴巴已安全回国的那一瞬间也只剩一句“平安就好” 迪丽热巴｜ 半只小辰的微博视频,https://m.weibo.cn/detail/5273140655558181
爱丽丝与热巴的双向奔赴,post,3009,粉丝点评/记忆表达明确,耀鼠奶油包,#热巴后援会发了时装周应援公告# 现在粉丝们只希望热巴安全回国，不管今天怎么样没有见面，期待下次更好见面，未来很长我们慢慢相见，一生热爱，步履不停，爱丽丝们永远是你坚强的后盾在保护无条件支持你,https://m.weibo.cn/detail/5272452487973755
红毯神图与高定封神造型,post,2909,粉丝点评/记忆表达明确,给我热一扎奶茶,迪丽热巴好美的妆造，异域自由自在的小蝴蝶，好灵动🦋 #迪丽热巴陈飞宇异域造型路透#,https://m.weibo.cn/detail/5075637834616909
嘻嘻迪/表情包/可爱梗,post,2881,粉丝点评/记忆表达明确,wency诗诗爱美食,哈哈哈哈小岳岳好可爱,https://m.weibo.cn/detail/4389016822380490
嘻嘻迪/表情包/可爱梗,post,2876,粉丝点评/记忆表达明确,梨绘樱奈,哈哈哈，果然极限，挑战有让人放飞的可能性笑死我了,https://m.weibo.cn/detail/4389017015096780
嘻嘻迪/表情包/可爱梗,post,2876,粉丝点评/记忆表达明确,大头钉Ding,哈哈哈哈哈热巴也太可爱了,https://m.weibo.cn/detail/4389016923493207
生日生贺与小小迪陪伴记忆,post,2856,粉丝点评/记忆表达明确,关我毛柿,#迪丽热巴0603生日快乐# 集邮了这个小女孩的几个闪光瞬间： 美丽瞬间、宠粉瞬间、最自豪时刻、最红专时刻、最美红毯瞬间、最出圈综艺瞬间。 希望你天天开心，一直红下去，今天你最大，最美好的祝福给最善良的小女孩热巴！ 还有未来的待播剧，希望播出成绩不负你的努力💪取得好成绩。迪丽热巴你要所愿 ...全文,https://m.weibo.cn/detail/5173240842424732
白日提灯贺思慕/女鬼鬼王记忆,post,2851,粉丝点评/记忆表达明确,Stars_HauteCouture,迪丽热巴 × 白日提灯追剧团美巴来啦！今日受邀出席主演电视剧《白日提灯》的追剧团活动，一袭Moliiin 2024春夏系列红黑皮革与蕾丝拼接的V领刺绣裙装亮相，我们气场美丽、明艳动人的万灵之主登场~ 🖤❤️ #迪丽热巴这真是妈咪级别的# ​,https://m.weibo.cn/detail/5282894256799946
爱丽丝与热巴的双向奔赴,post,2848,粉丝点评/记忆表达明确,直男科技,#迪丽热巴 很多事情我做不到但有你们#很多事情做不到，但是为了粉丝会努力尝试，@Dear-迪丽热巴 对粉丝的这番表白真的防破了。在陪伴的路上，双向奔赴，彼此成为更好的自己，这就是饭上一位优秀偶像收获的成长与感动。再次祝热巴生日快乐，未来我们有对方，一定都会越来越好。 娱闻热点的微博视频,https://m.weibo.cn/detail/4644109665439241
乔晶晶与《你是我的荣耀》入坑记忆,post,2845,粉丝点评/记忆表达明确,追星迷妹王语嫣,【#社长安利剧#】★社长自制★电视剧你是我的荣耀爆甜剧透剪辑——荣耀夫妇世界最美好的一种暗恋，大概就是从单箭头到双向奔赴的爱情····· 杨洋X于途｜迪丽热巴X乔晶晶 “今晚我想留宿 过分么？” “以后我会很主动！”，“你这样我很 ...全文,https://m.weibo.cn/detail/4665525411779819
任安乐/帝梓元角色记忆,post,2831,粉丝点评/记忆表达明确,解剖SK,虐疯！至死才能道破的心意！😭😭😭 在韩烨坠崖之后安乐才发现原来他们的情感一直都是双向奔赴…… 热巴的哭戏好有感染力 安乐传/迪丽热巴 #帝梓元韩烨重逢# 解剖SK的微博视频,https://m.weibo.cn/detail/4930755073934704
爱丽丝与热巴的双向奔赴,post,2743,粉丝点评/记忆表达明确,好喝还是冰美式,#迪丽热巴感谢希腊奶奶连续两年送祝福# 祝热巴生日快乐！粉丝们准备的应援视频好用心，太让人感动了这次希腊奶奶也送来了祝福，连续两年送祝福好有爱，热巴也说会让节目组转达感谢，双向奔赴好有意义 小段君爱吐槽的微博视频,https://m.weibo.cn/detail/4644103599686419
跑男时期综艺名场面,post,2714,粉丝点评/记忆表达明确,棃黛玉,#迪丽热巴跑男只录了12天#时间居然这么短，不妨碍美女名场面频出啊，谁没看过这段伟大的转圈 L棃黛玉的微博视频 ​,https://m.weibo.cn/detail/5291983016821869
乔晶晶与《你是我的荣耀》入坑记忆,comment,2709,粉丝点评/记忆表达明确,迪崽小可耐,感恩每一位演员和工作人员辛苦的付出 让我们看到了这么好的一部剧 感恩乔晶晶这个暑假的相遇,https://m.weibo.cn/detail/4673454328515349
迪拜报平安/守护型记忆,post,2698,粉丝点评/记忆表达明确,我只吃了三分报_,迪拜被炸的航站楼，就是她转机的那座T3，在战区滞留三天，脱离危险地带到了马来马上报了平安，没有委屈没有恐惧没有追责，只有对关心她的人的感激与安慰，此女内心强大到无法想象。但是她不说不代表她不害怕不疼，所有嘴热巴和爱丽丝的自己代入一下看看,https://m.weibo.cn/detail/5273209362453639
演员成长与角色群像评价,post,2661,粉丝点评/记忆表达明确,追剧seven仙女,白日提灯豆瓣6.7肯定低了，果然又见迪丽热巴分型。真相只有一个，豆瓣分数早就没有公信力了，白日提灯的质量没的说，白日提灯强剧情、快节奏、优秀的演技、丰富的人物角色和玄幻世界设定，优质长剧，值得更高分呢,https://m.weibo.cn/detail/5288745863745977
生日生贺与小小迪陪伴记忆,post,2655,粉丝点评/记忆表达明确,Dear迪丽热巴守护星,💎💎 快乐不分大小 ，祝巴巴酱@Dear-迪丽热巴 还有全体爱丽丝们六一儿童节快乐•͈ᴗ⁃͈★ 🎉🎉🎉 #迪丽热巴微博生日惊喜#dlrb#迪丽热巴0603生日快乐#,https://m.weibo.cn/detail/5040581783322668
白日提灯贺思慕/女鬼鬼王记忆,post,2622,粉丝点评/记忆表达明确,87号零食贩卖店,这条看的我心软软 是很棒的演员迪丽热巴！ 欢迎大家都来看这个白日提灯看贺思慕,https://m.weibo.cn/detail/5282849557318218
生日生贺与小小迪陪伴记忆,post,2530,粉丝点评/记忆表达明确,Absinthea,热巴送给巴黎粉丝的胶片相机只能拍27次对吧 27岁的生日会 她好爱 好懂 好宠 好细心,https://m.weibo.cn/detail/5288345854280405
嘻嘻迪/表情包/可爱梗,post,2519,粉丝点评/记忆表达明确,纯天然温柔可爱小柠檬,#迪丽热巴眼技#我们邪恶砂糖橘就是这么出圈啊，本来一个小片段硬是被舞成了出圈梗，坤续 ​,https://m.weibo.cn/detail/5280269307483025
白日提灯贺思慕/女鬼鬼王记忆,post,2511,粉丝点评/记忆表达明确,badada6387,#贺思慕美成啥了#迪丽热巴在《白日提灯》里的贺思慕造型简直绝了！古风画卷走出来的美人，一颦一笑都带着故事感。红衣时鬼魅大气，素衣时温婉清冷，各种风格切换自如。她的眼神戏太抓人，能把贺思慕的复杂层次演绎得淋漓尽致。从妆发到仪态，每个细节都精准拿捏，这才是古装剧该有的审美啊！热巴这次选角真的太贴了，完全就是书里走出来的贺思慕本慕！这种颜值与演技并存的女主角请再多来一些！#春节刷到宝了##白日提灯#,https://m.weibo.cn/detail/5282665636827903
白日提灯贺思慕/女鬼鬼王记忆,post,2503,粉丝点评/记忆表达明确,迪迪译家亲,"【分享】我们在泰国的阿丝来打卡贺思慕@Dear-迪丽热巴 大屏啦图片分别是：Shopping Mall : Emporium, EmQuartier, EmsphereMRT : Lumpini, Sukhumvit (地铁站）#迪丽热巴贺思慕# #迪丽热巴白日提灯# ​",https://m.weibo.cn/detail/5294145184729153
生日生贺与小小迪陪伴记忆,post,2483,粉丝点评/记忆表达明确,迪迪卫研究所,迪丽热巴 迪丽热巴生日快乐 🎊 早～两眼一睁就是干 爱丽丝们！3:14已经破了500万！ 有没有人截到比3:14更早的时间？ 阿所我真的泪流满面😭（感动的泪水） 虽然微博限制了点👍🏻，但限制不了爱丽丝对热巴的爱，我们继续往向千万进发！为了小巴巴送上最多的祝福和👍🏻👍🏻👍 ...全文,https://m.weibo.cn/detail/5173331395609441
枭起青壤/聂九罗表演突破,post,2474,粉丝点评/记忆表达明确,Lucky你个机灵鬼,#枭起青壤口碑##迪丽热巴聂九罗# 断断续续憋了好几天，想为《枭起青壤》写点什么。但因为太久时间都没有深度阅读，再加上习惯了短剧那种快速直接的刺激，想静下心来组织一篇有逻辑的观后感，还真是笔头生涩。这几天我翻了不少博主的评价，也看到了很多争议，今天就特别想结合自己的观看体验，聊一些不 ...全文,https://m.weibo.cn/detail/5239853391287068
爱丽丝与热巴的双向奔赴,post,2469,粉丝点评/记忆表达明确,不灭幽灵,#与迪丽热巴一起欢乐跨年#愿新的一年迪丽热巴与爱丽丝都自由自在，无忧无虑，平安喜乐。碰瓷鬼与烦人精们都滚远一些🙏 不灭幽灵的微博视频,https://m.weibo.cn/detail/4851980856724041
红毯神图与高定封神造型,post,2453,粉丝点评/记忆表达明确,不灭幽灵,#ELLE红毯内场#一个热知识，迪丽热巴红毯很出圈但她走红毯的次数并不多，2022年到现在就走了两次红毯。L不灭幽灵的微博视频 ​,https://m.weibo.cn/detail/4963773324723234
嘻嘻迪/表情包/可爱梗,post,2451,粉丝点评/记忆表达明确,虎妞我爱吃汤圆,哈哈哈热巴小可爱,https://m.weibo.cn/detail/4389016197234205
演员成长与角色群像评价,post,2419,粉丝点评/记忆表达明确,不灭幽灵,#迪丽热巴素人婚纱模特时期#在上戏读表演系时做模特赚生活费罢了。那时候入坑的粉丝来说迪丽热巴每次有新摄影作品就像现在播剧一样开心的事情啊,https://m.weibo.cn/detail/5283677284076327
爱丽丝与热巴的双向奔赴,post,2386,粉丝点评/记忆表达明确,Dear迪丽热巴守护星,明天是什么日子？星光大赏！来看看以往爱丽丝们给@Dear-迪丽热巴 的整活应援这还怕引起不了迪丽热巴的注意吗 Dear迪丽热巴后援会的微博视频 #迪丽热巴花儿与少年# dlrb#迪丽热巴利剑玫瑰#,https://m.weibo.cn/detail/4979533847988990
白日提灯贺思慕/女鬼鬼王记忆,post,2381,粉丝点评/记忆表达明确,富埓陶白,白日提灯这部剧对我来说真是没有一点遗憾，有人说宣发上有点遗憾。 遗憾是本可以做但没能做的，在长久时间里会一直懊悔的。但这不是我们能左右的，也不能家姐能左右的，既然不为我们能左右，就算不上我们的遗憾。 家姐对于这部剧，可以说是贺思慕对段婿那样“仁至义尽”。将贺思慕这个人以完美的形式 ...全文,https://m.weibo.cn/detail/5288425022030542
任安乐/帝梓元角色记忆,post,2362,粉丝点评/记忆表达明确,Dear迪丽热巴守护星,新年伊始🌅 第一天，本月爱丽丝行程图⛳️已新鲜出炉 新年新气象，让我们开启全新追迪之旅！祝大家元旦快乐 迪丽热巴公诉精英|安旎|迪丽热巴安乐传|任安乐|帝梓元@Dear-迪丽热巴 #迪丽热巴公诉精英#dlrb#迪丽热巴安旎#,https://m.weibo.cn/detail/4853025052823699
白日提灯贺思慕/女鬼鬼王记忆,post,2338,粉丝点评/记忆表达明确,嗑学君,“这是我这辈子第一次有人来接我”双向奔赴的人鬼恋好好哭～迪丽热巴贺思慕 、陈飞宇段胥#白日提灯# 嗑学君的微博视频,https://m.weibo.cn/detail/5283934671735064
白日提灯贺思慕/女鬼鬼王记忆,post,2325,粉丝点评/记忆表达明确,Loo-鹿鹿,#迪丽热巴白日提灯热度登顶#贺思慕给了段胥一场恋爱，又亲手消除了他的记忆！ LLoo-鹿鹿的微博视频 ​,https://m.weibo.cn/detail/5284099167096993
爱丽丝与热巴的双向奔赴,post,2323,粉丝点评/记忆表达明确,唯一纯白的茉莉花儿,谁会不喜欢这样一位有演技又漂亮还能给自己提供情绪价值的偶像呢说实话，我要是见着热巴本人我也很难控制住不尖叫她跟粉丝真是双向奔赴啊粉丝有秩序的等着她，她近视到了地方也注意到粉丝手上的信专门去拿，代入了一下自己，第一次见到热巴也是会爆哭的程度，天呐 ...全文,https://m.weibo.cn/detail/4922387122096584
纪云禾与鲛人系角色记忆,post,2316,粉丝点评/记忆表达明确,剧无霸挖掘机,你可以永远相信迪丽热巴！！纪云禾：“那我就赌你杀不尽这天下逆鳞者”！！长意还爱我很好，长意若不爱我了有人陪伴也好！这俩的对手戏好带感，顺德仙姬发疯但纪云禾的云淡风轻让她更咬牙切齿，拿纪云禾没有办法！！就是要一副无所谓的样子让顺德气急败坏啊啊啊啊我真的好爱纪云禾！与君初相识要结束了，恰似故人归什么时候播！ L剧无霸挖掘机的微博视频,https://m.weibo.cn/detail/4753199527629327
白日提灯贺思慕/女鬼鬼王记忆,post,2304,粉丝点评/记忆表达明确,坡上有瓜,实话就是迪丽热巴粉丝人多且聪明！ 既然你们要玩，那就玩的开心呀，反正出圈的是我们，迪丽热巴《白日提灯》未播先火哦～👏,https://m.weibo.cn/detail/5280438811887896
演员成长与角色群像评价,post,2287,粉丝点评/记忆表达明确,龙门不打烊,@嘉行迪丽热巴工作室 @郝阿三 相信我，沪上烟火这本完全可以去接触👉🏻微博正文。1. 如果选ip本子，最重要的一定是原著的底子。原著情节写得好，改编就很容易，原著情节就悬浮无聊平淡味同嚼蜡的，一定无任何热播可能。狂潮领上和沪上烟火这两个ip的设定和故事情节，后者吊打前者不成问题。2. 沪上烟火设定女主是援疆知青回沪，家里母亲是上海小市民（徐娘半老风韵犹存，性格极接地气，自身也有一些往事），但父亲这个角色是缺位的。这一点太太太好改了，微微,https://m.weibo.cn/detail/5283933143172043
白日提灯贺思慕/女鬼鬼王记忆,post,2272,粉丝点评/记忆表达明确,胖杉百事从欢,十一点还能涨创新高一方面是粉丝一直在努力，另一方面证明剧粉真的很喜欢我们白日提灯吧！感谢迪丽热巴贺思慕的观众朋友们托举！！！,https://m.weibo.cn/detail/5281582954317979
花少/你好星期六等综艺片刻,post,2269,粉丝点评/记忆表达明确,AliceCloset·迪丽热巴同款博,#迪丽热巴出发长沙录开推# ｜#迪丽热巴开始推理吧# 250223 机场私服@Dear-迪丽热巴 🧥 👖｜Dpercent @Dpercent 👟｜Marine Serre @MARINESERRE_OFFICIAL 🧢｜VUJADE “让我来听听我的爱丽丝们在喊什么👂🏻” “哎呀真的没听懂🙅🏻♀️” “还是挥挥手吧🥰” “走咯～再偷 ...全文,https://m.weibo.cn/detail/5137283036482927
白日提灯贺思慕/女鬼鬼王记忆,post,2259,粉丝点评/记忆表达明确,东方卫视番茄台,@丁嘉文vesta 回忆#白日提灯#与@Dear-迪丽热巴 对手戏，引得片场全员笑场。#东方新娱乐# L东方卫视番茄台的微博视频 ​,https://m.weibo.cn/detail/5285126360532341
演员成长与角色群像评价,post,2254,粉丝点评/记忆表达明确,千堆雪飘飘,#迪丽热巴利剑玫瑰央8重播# 爆剧央八再次重播啦，迪丽热巴台词演技好，全题材扛剧,https://m.weibo.cn/detail/5293499604796585
纪云禾与鲛人系角色记忆,post,2238,粉丝点评/记忆表达明确,kou旎ji哇,#恰似故人归# 纪云禾真是女主控的最爱呀“我纪云禾生来好胜不服管，就喜欢知其不可为而为之。”明明是最向往自 由 的 灵 魂，却一次次被 囚 禁，从万花谷到仙师府。她始终是断崖上那个霸气又不羁的纪云禾。期待电视剧恰似故人归超话 @Dear-迪丽热巴 【迪丽热巴恰似故人归纪云禾】#迪丽热巴恰似故人归# dlrb#迪丽热巴纪云禾# L俺八段酱的微博视频,https://m.weibo.cn/detail/4753217386978495
