collab_id,series_name,primary_brand,partner_names,partner_type,category,release_date,announcement_date,availability_region,brand_region,collection_size,price_min,price_max,currency,sales_channels,official_url,source_urls,primary_image_url,image_credit,confidence_level,notes,last_checked
Q12026-043,Rakeem Miles x K-Swiss Drop 3,K-Swiss,Rakeem Miles,artist / rapper,footwear; apparel,2026-02-27,2026-02-23,online,United States,,120,120,USD,K-Swiss online,https://sneakernews.com/2026/02/23/rakeem-miles-k-swiss-court-tie-break/,https://sneakernews.com/2026/02/23/rakeem-miles-k-swiss-court-tie-break/,,K-Swiss / Rakeem Miles,medium,Court Tiebreak shoe released with apparel collection.,2026-05-31
Q12026-044,The North Face x Cecilie Bahnsen Third Collaboration,The North Face,Cecilie Bahnsen,designer brand,outerwear; bags; footwear,2026-03-26,2026-03-25,global selected retail,United States; Denmark,7,290,750,USD,TheNorthFace.com; CecilieBahnsen.com; selected retailers worldwide,https://footwearmagazine.com/the-north-face-cecilie-bahnsen-third-collab/,https://footwearmagazine.com/the-north-face-cecilie-bahnsen-third-collab/ | https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://footwearmagazine.com/wp-content/uploads/2026/03/f2nzgxym.jpg,The North Face / Cecilie Bahnsen,high,Seven-piece modular technical-romantic capsule.,2026-05-31
Q12026-045,Kith x On Running K-Tech,Kith,On Running,performance footwear brand,footwear; apparel,2026-03-06,2026-03-04,New York; London; Paris; Tokyo; online,United States; Switzerland,,,,USD,Kith App; Kith stores; Kith.com,https://sneakernews.com/2026/02/27/kith-on-running-k-tech-2026/,https://sneakernews.com/2026/02/27/kith-on-running-k-tech-2026/,,Kith / On Running,medium,First Kith K-Tech models with co-branded apparel.,2026-05-31
Q12026-046,Thom Browne x ASICS GEL-KAYANO 14,Thom Browne,ASICS,sportswear brand,footwear,2026-03-02,2026-03-01,global selected retail,United States; Japan,3,450,450,USD,Thom Browne retail; ThomBrowne.com; select global retailers,https://footwearmagazine.com/asics-thom-browne-super-bowl-gel-kayano-14/,https://footwearmagazine.com/asics-thom-browne-super-bowl-gel-kayano-14/ | https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://footwearmagazine.com/wp-content/uploads/2026/03/gsywbft9.jpg,Thom Browne / ASICS,high,Grey and black editions launched 2 March; white edition followed later.,2026-05-31
Q12026-047,MOTHER x Merci Capsule,MOTHER,Merci,concept store,apparel; denim; tote bags,2026-03-26,2026-03-26,online; Paris pop-up,United States; France,11,60,258,USD,MotherDenim.com; Merci-Merci.com; Merci Paris store,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,"https://hips.hearstapps.com/hmg-prod/images/e4985f8b-df19-49a3-beb1-6d4de8f554fd.jpeg?crop=1xw:0.72xh;0xw,0.216xh&resize=1200:*",MOTHER / Merci / ELLE,medium,11-piece capsule with ready-to-wear and three exclusive Merci totes.,2026-05-31
Q12026-048,Dôen x Garrett Leight Sunglasses,Dôen,Garrett Leight,eyewear brand,eyewear; accessories,2026-03-26,2026-03-26,online,United States,6,425,425,USD,ShopDoen.com; GarrettLeight.com,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,"https://hips.hearstapps.com/hmg-prod/images/e4985f8b-df19-49a3-beb1-6d4de8f554fd.jpeg?crop=1xw:0.72xh;0xw,0.216xh&resize=1200:*",Dôen / Garrett Leight / ELLE,medium,Two exclusive silhouettes in three colorways each.,2026-05-31
Q12026-049,Sperry x Monse Spring/Summer 2026,Sperry,Monse,ready-to-wear brand,footwear,2026-03-19,2026-03-19,global online; select retailers,United States,8,195,395,USD,Sperry.com; Monse.com; Nordstrom; Shopbop,https://theimpression.com/monse-and-sperry-launch-first-footwear-collaboration/,https://theimpression.com/monse-and-sperry-launch-first-footwear-collaboration/ | https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://theimpression.com/wp-content/uploads/2026/03/Sperry-x-Monse-Spring-2025-News-The-Impression-001-low-resolution-v2-2x-faceai-v2-scaled.jpeg,Sperry / Monse,high,First footwear collaboration between the brands.,2026-05-31
Q12026-050,Repetto x Kaia Gerber In Bloom,Repetto,Kaia Gerber,model / talent,footwear,2026-03-26,2026-03-26,global,France; United States,2,440,530,USD,Repetto.com; Repetto boutiques; select department stores,https://floradress.com/repetto-kaia-gerber-in-bloom-collection-2026-2/,https://floradress.com/repetto-kaia-gerber-in-bloom-collection-2026-2/ | https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://floradress.com/wp-content/uploads/2026/03/repetto-kaia-gerber-in-bloom-collection-2026.jpg,Repetto / Kaia Gerber,medium,Two special-edition ballet-inspired shoes.,2026-05-31
Q12026-051,AGOLDE x Maria McManus Capsule,AGOLDE,Maria McManus,designer brand,denim; ready-to-wear,2026-03-11,2026-03-11,online; select retail,United States,16,368,488,USD,AGOLDE.com; MariaMcManus.com; Net-a-Porter,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://shopping.yahoo.com/style/shoes/articles/thom-browne-drops-sneaker-asics-172953501.html | https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://s.yimg.com/lo/mysterio/api/845b13332a737256421391d1c3b046875cf0a20d70bb10f17caaf80988638cf7/lightyear_networkapi/resizefill_w1200;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Felle_570%2F5e7250a379a57d02baa150f2793da563,AGOLDE / Maria McManus,medium,16-piece denim and ready-to-wear capsule using regenerative cotton and low-impact dye.,2026-05-31
Q12026-052,Tory Burch x The Explorers Club Women in Exploration,Tory Burch,The Explorers Club; Emily Damastra,institution; artist,apparel; accessories; bags,2026-03-08,2026-03-08,online,United States,,90,595,USD,ToryBurch.com,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,"https://hips.hearstapps.com/hmg-prod/images/e4985f8b-df19-49a3-beb1-6d4de8f554fd.jpeg?crop=1xw:0.72xh;0xw,0.216xh&resize=1200:*",Tory Burch / The Explorers Club,medium,International Women's Day capsule benefiting The Explorers Club; exact launch date set to IWD based on campaign context.,2026-05-31
Q12026-053,Loeffler Randall x Underwater Weaving Basket Tote,Loeffler Randall,Underwater Weaving,artisan accessories label,bags; accessories,2026-03-26,2026-03-26,online; United States stores,United States,2,395,395,USD,LoefflerRandall.com; Loeffler Randall stores,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,https://www.elle.com/fashion/a70574295/best-fashion-launches-march-2026/,"https://hips.hearstapps.com/hmg-prod/images/e4985f8b-df19-49a3-beb1-6d4de8f554fd.jpeg?crop=1xw:0.72xh;0xw,0.216xh&resize=1200:*",Loeffler Randall / Underwater Weaving,medium,Two handmade rattan basket bags designed to accompany Loeffler Randall's spring collection.,2026-05-31
Q12026-054,Stetson & THE GREAT. Western Collection,THE GREAT.,Stetson,heritage hat and westernwear brand,apparel; hats; belts; bags; boots,2026-03-05,2026-03-05,United States; online,United States,25,45,625,USD,Stetson.com; ThisIsTheGreat.com; THE GREAT. stores; Bloomingdale's; Nordstrom; Shopbop; Revolve,https://shopping.yahoo.com/style/clothing/articles/stetson-great-partner-western-inspired-050100083.html,https://shopping.yahoo.com/style/clothing/articles/stetson-great-partner-western-inspired-050100083.html | https://www.wmagazine.com/fashion/best-fashion-collaborations-launches-capsules-2026,https://s.yimg.com/lo/mysterio/api/7303697edcb4cc4ca97a9d70a468eb331725ad9185b004353e4d00598d59b903/lightyear_networkapi/resizefill_w1200;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Fwwd_409%2Ff7c86811a5f1d81375df726264fdef2b,Stetson / THE GREAT.,high,25-piece western-inspired collection with apparel and accessories.,2026-05-31
Q12026-055,Burberry x Royal Collection Trust,Burberry,Royal Collection Trust,cultural institution,outerwear; scarves; jewelry,2026-03-12,2026-03-12,global selected stores; United Kingdom royal shops; online,United Kingdom,4,,,,Burberry.com; selected Burberry stores; RoyalCollectionShop.co.uk; RCT shops,https://www.burberryplc.com/news/brand/2026/burberry-presents-a-new-capsule-collection-created-in-collaboration-with-royal-collection-trust,https://www.burberryplc.com/news/brand/2026/burberry-presents-a-new-capsule-collection-created-in-collaboration-with-royal-collection-trust,https://www.burberryplc.com/content/dam/burberryplc/corporate/images/newsroom/brand/2026/rct-collection/RCT-collection-4.jpg/_jcr_content/renditions/cq5dam.thumbnail.640.640.png,Burberry / Royal Collection Trust,high,Four designs marking Queen Elizabeth II's centenary.,2026-05-31
Q12026-056,Topshop x Tolu Coker DOORS,Topshop,Tolu Coker,designer,womenswear; denim; tailoring; knitwear,2026-03-02,2026-02-19,global online,United Kingdom,18,,,,Topshop.com,https://www.asosplc.com/news-and-media/latest-news/topshop-launches-capsule-collection-with-celebrated-designer-tolu-coker/,https://www.asosplc.com/news-and-media/latest-news/topshop-launches-capsule-collection-with-celebrated-designer-tolu-coker/ | https://www.asosplc.com/news-and-media/latest-news/topshop-announces-capsule-collection-with-designer-tolu-coker-with-preview-revealed-during-tolu-coker-s-defining-london-fashion-week-show/,,Topshop / Tolu Coker,high,Official source confirms early March; launch-page source states the 18-piece line went live on 2 March.,2026-05-31
Q12026-057,Express x bebe Y2K Capsule,Express,bebe,fashion brand,occasionwear; dresses; jumpsuits; rompers,2026-03-24,2026-03-24,United States; online,United States,,,,USD,Express.com; select Express stores,https://fashionunited.com/news/fashion/express-teams-up-with-bebe-for-y2k-inspired-collection/2026032471369,https://fashionunited.com/news/fashion/express-teams-up-with-bebe-for-y2k-inspired-collection/2026032471369 | https://www.businesswire.com/news/home/20260324254550/en/Express-x-bebe-Reimagines-Y2K-Style-in-Curated-Capsule-Collection,https://r.fashionunited.com/9_58BD9EqC07lJ_XeVShSctJWFtLM_eDTNMG6lg_Bak/resize:fit:1200:630:0/gravity:ce/quality:70/aHR0cHM6Ly9mYXNoaW9udW5pdGVkLmNvbS9pbWcvdXBsb2FkLzIwMjYvMDMvMjQvZXhwcmVzc3hiZWJlLW1hcmNoMjYtZTEydDY2ZGstMjAyNi0wMy0yNC5qcGVn.jpeg,Express / bebe,high,Y2K going-out capsule launched 24 March online and in select stores.,2026-05-31
Q12026-058,TOGA x Umbro First Capsule Collection,TOGA,Umbro,sportswear brand,apparel; football-inspired sportswear; bags,2026-03-19,2026-03-19,Japan; selected retail,Japan; United Kingdom,7,39600,92400,JPY,TOGA flagship stores; select retailers in Japan,https://snkrdunk.com/en/magazine/2026/03/19/toga-x-umbro-first-capsule-collection-19th-march-2026/,https://snkrdunk.com/en/magazine/2026/03/19/toga-x-umbro-first-capsule-collection-19th-march-2026/ | https://snkrdunk.com/en/magazine/2025/07/21/toga-x-umbro-ss26-release-date-price-where-to-buy/,https://snkrdunk.s3.ap-northeast-1.amazonaws.com/en/magazine/wp-content/uploads/2026/03/19110116/311a5811-14bb-478c-86d3-1886406c1e7f.jpg,TOGA / Umbro,high,First TOGA x Umbro collaboration; release source says 19 March.,2026-05-31
Q12026-059,FURFUR x Peanuts Weekend Slow,FURFUR,Peanuts,character IP,womenswear; apparel,2026-03-12,2026-03-11,Japan; online,Japan; United States,4,,,JPY,FURFUR Official Online Store; MASH STORE; USAGI ONLINE; FURFUR stores,https://www.haveagood-holiday.com/en/articles/furfur-peanuts-capsule-collection-2026,https://www.haveagood-holiday.com/en/articles/furfur-peanuts-capsule-collection-2026,https://assets.hldycdn.com/39386474-5677-4354-8ad3-a56fa178498e.jpeg,FURFUR / Peanuts,medium,Online release 12 March; in-store availability followed 14 March.,2026-05-31
Q12026-060,Barehands x Lim Shi-An Analogue,Barehands,Lim Shi-An,actress / talent,apparel; tops; bottoms; dress,2026-03-06,2026-03-06,Singapore,Singapore,7,,,SGD,Barehands retail; made-to-order,https://www.straitstimes.com/life/style/clothing-label-barehands-launches-retro-print-capsule-collection-with-actress-lim-shi-an,https://www.straitstimes.com/life/style/clothing-label-barehands-launches-retro-print-capsule-collection-with-actress-lim-shi-an,https://cassette.sphdigital.com.sg/image/straitstimes/8546f5265f325600fd5290a2b4c09cf72c016dc331f6cc6f6d76b848531c7316,Barehands / The Straits Times,medium,Seven nostalgically patterned designs; limited off-rack or made-to-order.,2026-05-31
Q12026-061,Crew Clothing x Henley Royal Regatta 2026 Regatta Range,Crew Clothing,Henley Royal Regatta,sporting event / institution,apparel; regatta range,2026-03-18,2026-03-19,United Kingdom; online,United Kingdom,,,,GBP,Crew Clothing stores; online,https://www.henleyherald.com/2026/03/19/crew-clothing-launches-2026-regatta-range/,https://www.henleyherald.com/2026/03/19/crew-clothing-launches-2026-regatta-range/,https://www.henleyherald.com/wp-content/uploads/2026/03/image001.jpg,Crew Clothing / Henley Royal Regatta,medium,SS26 capsule launched 18 March ahead of Henley Royal Regatta.,2026-05-31
Q12026-062,Disney | BLACKPINK Collection by Complex,Complex,BLACKPINK; Disney,music group; entertainment IP,streetwear; apparel,2026-03-05,2026-03-06,online exclusive,United States; South Korea,,35,125,USD,Complex.com,https://www.ibtimes.com.au/blackpink-launches-punk-inspired-disney-capsule-collection-collaboration-complex-1862746,https://www.ibtimes.com.au/blackpink-launches-punk-inspired-disney-capsule-collection-collaboration-complex-1862746,https://d.ibtimes.com.au/en/full/1845554/blackpink-selena-gomez.jpg,Disney / BLACKPINK / Complex,medium,Limited apparel capsule launched exclusively on Complex.com on 5 March.,2026-05-31
Q12026-063,Montce x Elsa Hosk Capsule Collection,Montce,Elsa Hosk,model / founder,swimwear; coverups; accessories,2026-03-02,2026-03-02,online exclusive,United States; Sweden,66,,,USD,Montce.com,https://www.whowhatwear.com/fashion/swimwear/montce-x-elsa-hosk-capsule-collection-2026,https://www.whowhatwear.com/fashion/swimwear/montce-x-elsa-hosk-capsule-collection-2026,https://cdn.mos.cms.futurecdn.net/iq4nrsCLHPyDaqS3qMLpHY-1200-80.jpg,Montce / Elsa Hosk / Who What Wear,high,66-piece romantic swimwear and vacation capsule launched 2 March.,2026-05-31
Q12026-064,66°North x Laufey Capsule Collection,66°North,Laufey,musician,outerwear; bags; T-shirts; knitwear; bonnet,2026-03-10,2026-03-10,global online; Iceland; London; Copenhagen,Iceland,5,85,415,GBP,"66North.com; stores in Iceland, London and Copenhagen",https://www.t3.com/active/outerwear/66north-laufey-capsule-collection-launc-0326,https://www.t3.com/active/outerwear/66north-laufey-capsule-collection-launc-0326,https://cdn.mos.cms.futurecdn.net/Wzx2GT3iivEfckQPaiwRtg-1920-80.jpg,66°North / Laufey,high,"Centenary-year collaboration; collection includes coat, shell bag, T-shirt, cardigan and bonnet.",2026-05-31
Q12026-065,Studio Nicholson x Perfumer H Soap Collection,Studio Nicholson,Perfumer H,fragrance house,apparel; fragrance; cap,2026-02-04,2026-02-04,Paris first; worldwide,United Kingdom,4,,,,Studio Nicholson Paris store; Studio Nicholson shops worldwide,https://www.wallpaper.com/fashion-beauty/fragrance/perfumer-h-studio-nicholson-soap-fragrance-collaboration,https://www.wallpaper.com/fashion-beauty/fragrance/perfumer-h-studio-nicholson-soap-fragrance-collaboration,https://cdn.mos.cms.futurecdn.net/DTwhSHSeUGtyEZ7ha9Qc8P-1539-80.jpg,Studio Nicholson / Perfumer H,medium,"Fragrance launched with clothing capsule: cotton shirt, cotton twill pants and Soap baseball cap.",2026-05-31
Q12026-066,Kith x The Matrix Monday Program,Kith,The Matrix,film IP,streetwear; apparel; outerwear,2026-03-23,2026-03-23,global Kith stores; online,United States,,,,USD,Kith.com; Kith flagship stores,https://selectabisso.com/en/kith-x-the-matrix--a-cyberpunk-capsule-that-merges-fashion-and-cinema/,https://selectabisso.com/en/kith-x-the-matrix--a-cyberpunk-capsule-that-merges-fashion-and-cinema/ | https://hypebeast.com/2026/3/best-drops-march-week-4-palace-evisu-kith,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2026%2F03%2F25%2Fbest-drops-march-week-4-palace-evisu-kith-tw.jpg?w=1080&cbr=1&q=90&fit=max,Kith / The Matrix,medium,Cyberpunk-inspired Monday Program capsule.,2026-05-31
Q12026-067,A.P.C. x Topologie Second Capsule,A.P.C.,Topologie,accessories / climbing-inspired brand,denim; apparel; bags; accessories,2026-03-27,2026-03-27,Japan exclusive,France; Hong Kong/Japan,,,,JPY,official online stores; select retailers in Japan,https://selectabisso.com/en/APCX-Topology%3A-A-second-capsule-collection-blending-iconic-denim-and-technical-design/,https://selectabisso.com/en/APCX-Topology%3A-A-second-capsule-collection-blending-iconic-denim-and-technical-design/,,A.P.C. / Topologie,medium,Japan-exclusive capsule with denim and technical carry design.,2026-05-31
Q12026-068,Aman Tennis Club x The Webster,Aman Tennis Club,The Webster,retailer,tennis apparel; accessories,2026-03-27,2026-03-27,United States; online/select retail,Switzerland/Global; United States,,,,USD,The Webster Palm Springs and South Beach; online,https://hype.my/centre-court-chic-aman-tennis-club-launches-capsule-collection-with-the-webster,https://hype.my/centre-court-chic-aman-tennis-club-launches-capsule-collection-with-the-webster,https://hype.my/wp-content/uploads/2026/03/aman-tennis-club-x-the-webster.webp,Aman Tennis Club / The Webster,medium,Limited tennis capsule with in-store installations in Palm Springs and South Beach Miami.,2026-05-31
Q12026-069,Target x Roller Rabbit Spring Getaway Collection,Target,Roller Rabbit,lifestyle brand,apparel; sleepwear; luggage; accessories; home-adjacent,2026-03-07,2026-02-26,United States,United States,250+,,,USD,Target.com; most Target stores,https://www.prnewswire.com/news-releases/target-and-roller-rabbit-debut-an-exclusive-spring-getaway-collection-302697146.html,https://www.prnewswire.com/news-releases/target-and-roller-rabbit-debut-an-exclusive-spring-getaway-collection-302697146.html,https://mma.prnewswire.com/media/2918781/Roller_Rabbit_X_Target.jpg?p=facebook,Target / Roller Rabbit,high,"Large multi-category collaboration; included because apparel, sleepwear, luggage and accessories are core.",2026-05-31
Q12026-070,Halara x Smiley Spring/Summer 2026,Halara,Smiley,global IP,athleisure; apparel,2026-03-30,2026-03-30,global online,United States/Global,20,,,USD,Halara online channels,https://www.prnewswire.com/news-releases/halara-launches-first-ever-global-ip-collaboration-with-smiley-302728188.html,https://www.prnewswire.com/news-releases/halara-launches-first-ever-global-ip-collaboration-with-smiley-302728188.html,https://mma.prnewswire.com/media/2945078/DSC07095.jpg?p=facebook,Halara / Smiley,high,Limited-time 20-style athleisure collection.,2026-05-31
Q12026-071,American Eagle & Aerie x Smiley,American Eagle / Aerie,Smiley,global IP,apparel; denim; accessories; fleece,2026-03-20,2026-03-20,United States; online; stores,United States/United Kingdom,41+,,,USD,American Eagle; Aerie stores; online,https://www.licensingmagazine.com/2026/03/20/ae-aerie-x-smiley-the-feel-good-summer-collection-launches/,https://www.licensingmagazine.com/2026/03/20/ae-aerie-x-smiley-the-feel-good-summer-collection-launches/,https://www.licensingmagazine.com/wp-content/uploads/2026/03/AE-Aerie-x-Smiley-The-Feel-Good-Summer-Collection-Launches.png,American Eagle / Aerie / Smiley,medium,AE side spans 41 styles; Aerie side also included in co-branded feel-good collection.,2026-05-31
Q12026-072,Subtitle x JUJUTSU KAISEN,Subtitle,JUJUTSU KAISEN / TOHO International,anime IP / entertainment company,apparel,2026-03-17,2026-03-17,United States online,United States; Japan,18,,,USD,TOHO Animation Store US,https://animetv-jp.net/news/subtitle-launches-jujutsu-kaisen-collection/,https://animetv-jp.net/news/subtitle-launches-jujutsu-kaisen-collection/,https://animetv-jp.net/wp-content/uploads/2026/03/Subtitle-JJK-Campaign-11-1.jpg,Subtitle / TOHO International,medium,18-piece fashion-forward anime apparel collaboration.,2026-05-31
Q12026-073,John Lewis x Labrum SS26 Drop Two,John Lewis,Labrum,menswear brand,menswear; footwear; bags; home-adjacent,2026-03-19,2026-03-19,United Kingdom,United Kingdom,35,,,GBP,JohnLewis.com; five John Lewis stores,https://www.theindustry.fashion/in-pictures-john-lewis-launches-second-collaboration-with-labrum-for-ss26/,https://www.theindustry.fashion/in-pictures-john-lewis-launches-second-collaboration-with-labrum-for-ss26/,https://www.theindustry.fashion/wp-content/uploads/2026/03/Untitled-design-2026-03-19T100848.760.png,John Lewis / Labrum,high,"35-piece second drop; includes denim, tailoring, co-ords, footwear and bags.",2026-05-31
Q12026-074,Supreme x MM6 Maison Margiela Spring 2026,Supreme,MM6 Maison Margiela; Timberland; Everlast; Schott,designer brand; product partners,streetwear; footwear; bags; accessories,2026-03-19,2026-03-16,global; Asia 21 March,United States; France/Italy,35,,,USD,Supreme stores; Supreme online,https://hypebeast.com/2026/3/mm6-maison-margiela-supreme-spring-2026-collaboration-collection-release-info,https://hypebeast.com/2026/3/mm6-maison-margiela-supreme-spring-2026-collaboration-collection-release-info | https://sneakernews.com/2026/03/16/supreme-mm6-maison-margiela-timberland-money-boot/,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2026%2F03%2F16%2Ftwmm6-maison-margiela-supreme-spring-2026-collaboration-collection-release-info.jpg?w=1080&cbr=1&q=90&fit=max,Supreme / MM6 Maison Margiela,high,35-piece collection including Timberland boots and Everlast lifestyle items.,2026-05-31
Q12026-075,SP5DER x adidas Superstar Collection,SP5DER,adidas,sportswear brand,footwear; apparel,2026-03-03,2026-02-27,global selected retail,United States; Germany,,,,USD,SP5DER site; adidas; select retailers,https://www.soleretriever.com/news/sp5der-adidas-superstars-collection-release-date-march-2026,https://www.soleretriever.com/news/sp5der-adidas-superstars-collection-release-date-march-2026,"https://images.soleretriever.com/blog/863ebec6927fda72ffa3eee9cc34a5fcf4db5614-620x380.png?rect=0,27,620,326&w=1200&h=630&fit=fill&auto=format",SP5DER / adidas,medium,SP5DER site drop 27 February; global adidas release 3 March.,2026-05-31
Q12026-076,Palace x World Industries Spring 2026,Palace Skateboards,World Industries,skateboard brand,streetwear; skate apparel; accessories,2026-03-14,2026-03-09,global Palace release,United Kingdom; United States,,,,,Palace stores; Palace online,https://www.finallyoffline.com/article/palace-x-world-industries-collab-drops-march-14-mmjg2w73,https://www.finallyoffline.com/article/palace-x-world-industries-collab-drops-march-14-mmjg2w73,https://www.finallyoffline.com/og-home.png,Palace / World Industries,medium,Spring Summer Week 6 skate/streetwear collaboration.,2026-05-31
Q12026-077,Gap x Awake NY Streetwear Collection,Gap,Awake NY,streetwear brand,apparel; denim; accessories; kidswear,2026-03-27,2026-03-27,United States; online,United States,27,18,268,USD,Gap.com; Gap stores,https://floradress.com/gap-awake-ny-collection-2026/,https://floradress.com/gap-awake-ny-collection-2026/,https://floradress.com/wp-content/uploads/2026/03/gap-x-awake-ny-collection-2026.webp,Gap / Awake NY,medium,27-piece apparel and accessories collection rooted in 1990s New York.,2026-05-31
Q12026-078,HOODRICH x Eastman Group U.S. Footwear Debut,HOODRICH,Eastman Group; JD Sports,licensing/manufacturing partner; retailer,footwear,2026-03-22,2026-03-20,United States,United Kingdom; United States,,100,100,USD,JD Sports,https://iconixbrand.com/hoodrich-enters-u-s-footwear-market-for-the-first-time-in-partnership-with-eastman-group/,https://iconixbrand.com/hoodrich-enters-u-s-footwear-market-for-the-first-time-in-partnership-with-eastman-group/,https://inxmedia.blob.core.windows.net/iconixbrandnew-blob/2026/03/HOODRICH_News_032026.jpg,HOODRICH / Eastman Group / JD Sports,high,Debut U.S. footwear collection developed with founder Jay Williams and launched exclusively at JD Sports.,2026-05-31
Q12026-079,Bad Bunny x adidas BadBo 1.0 Rise Apparel Capsule,adidas,Bad Bunny,musician,footwear; apparel,2026-03-28,2026-03-16,worldwide selected retail,Germany; Puerto Rico,,160,160,USD,CONFIRMED app; adidas.com; select retailers worldwide,https://sneakernews.com/2026/03/17/adidas-badbo-1-0-rise-js3886-release-date/,https://sneakernews.com/2026/03/17/adidas-badbo-1-0-rise-js3886-release-date/,,adidas / Bad Bunny,medium,BadBo footwear and first Bad Bunny x adidas apparel capsule released 28 March.,2026-05-31
Q12026-080,Thug Club x adidas Spring 2026,Thug Club,adidas,sportswear brand,footwear; apparel,2026-03-25,2026-03-18,United States; selected retail,South Korea; Germany,,80,170,USD,adidas US; select retailers,https://sneakernews.com/2026/03/13/thug-club-adidas-spring-2026/,https://sneakernews.com/2026/03/13/thug-club-adidas-spring-2026/,,Thug Club / adidas,medium,"Capsule includes oversized industrial apparel plus Superstar, adiFOM Megaride and IIINFINITY Mule.",2026-05-31
Q12026-081,Pharrell x adidas adiZero EVO SL HUMANRACE Mars,adidas,Pharrell Williams / HUMANRACE,artist / label,footwear; apparel,2026-03-21,2026-03-16,United States; selected retail,Germany; United States,,160,160,USD,adidas; Sneaker Politics; select retailers,https://sneakernews.com/2025/11/03/pharrell-adidas-evo-sl-preloved-brown-kj8809/,https://sneakernews.com/2025/11/03/pharrell-adidas-evo-sl-preloved-brown-kj8809/,,adidas / Pharrell HUMANRACE,medium,Sneaker release with mini apparel collection.,2026-05-31
Q12026-082,Brazil x Jordan Brand Away Kit and Lifestyle Collection,Jordan Brand,Brazilian Football Confederation,football federation,match kit; lifestyle apparel; footwear,2026-03-12,2026-03-12,Brazil; global football retail,United States; Brazil,,,,,Jordan/Nike football channels; selected retailers,https://sneakernews.com/2026/03/12/jordan-brand-brazil-world-cup-2026/,https://sneakernews.com/2026/03/12/jordan-brand-brazil-world-cup-2026/,,Jordan Brand / Brazilian Football Confederation,medium,First direct Jordan Brand football-federation partnership; previewed in São Paulo.,2026-05-31
Q12026-083,Palace x EVISU 35th Anniversary Capsule,Palace Skateboards,EVISU,denim brand,denim; apparel; accessories,2026-03-27,2026-03-27,US; UK; EU; Asia/Australia 28 March,United Kingdom; Japan,23,,,,Palace stores; EVISU stores; online platforms,https://hypebeast.com/2026/3/best-drops-march-week-4-palace-evisu-kith,https://hypebeast.com/2026/3/best-drops-march-week-4-palace-evisu-kith,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2026%2F03%2F25%2Fbest-drops-march-week-4-palace-evisu-kith-tw.jpg?w=1080&cbr=1&q=90&fit=max,Palace / EVISU,medium,"Fifth Palace x EVISU collaboration, tied to EVISU's 35th anniversary.",2026-05-31
Q12026-084,Pacsun x LAFC 2026 Season Opener Drop,Pacsun,Los Angeles Football Club (LAFC),sports club,apparel; fanwear,2026-02-20,2026-02-19,United States; Southern California stores; online; stadium,United States,2,,,USD,Pacsun.com; 20 Southern California Pacsun stores; LAFC HQ Store; Coliseum match activation,https://www.prnewswire.com/news-releases/pacsun-and-lafc-celebrate-historic-opening-day-at-the-coliseum-with-first-2026-capsule-collection-302692515.html,https://www.prnewswire.com/news-releases/pacsun-and-lafc-celebrate-historic-opening-day-at-the-coliseum-with-first-2026-capsule-collection-302692515.html,https://mma.prnewswire.com/media/2916603/Pacsun_x_LAFC_2026.jpg?p=facebook,Pacsun / LAFC,high,Season-opener tee and hoodie capsule; press release states launch date and channels.,2026-05-31
Q12026-085,Carter's x Once Upon a Farm Limited-Edition Capsule,Carter's,Once Upon a Farm,food brand,childrenswear; sleepwear; apparel,2026-01-20,2026-01-20,United States; online; Carter's stores nationwide,United States,12,18,20,USD,Carters.com; Carter's stores,https://ir.carters.com/news-releases/news-release-details/carters-and-once-upon-farm-launch-limited-edition-apparel,https://ir.carters.com/news-releases/news-release-details/carters-and-once-upon-farm-launch-limited-edition-apparel | https://www.businesswire.com/news/home/20260119053966/en/,https://mms.businesswire.com/media/20260119053966/en/2696016/22/HERO_Carter%E2%80%99s_x_Once_Upon_a_Farm_2.jpg,Carter's / Once Upon a Farm,high,Baby and toddler capsule with farm-fresh prints; official release says available now.,2026-05-31
