up主名字,主要知识领域,总权重,提及次数,回答提及数,评论提及数,正向/推荐,负向/避雷,中性/提及,代表点评,来源URL样例
推荐吗,科普/自然科学,6,1,0,1,1,0,0,有一些通信工程或者电子信息工程的up主推荐吗[大哭],https://www.zhihu.com/question/392126627/answer/2015671555#comment-10283019824
毛立平,生物/医学健康,6,1,0,1,1,0,0,历史推荐毛立平，老师娓娓道来，清史讲的非常有意思。,https://www.zhihu.com/question/291506148/answer/2810334107#comment-10424219822
的什么总裁,历史/军事,6,1,0,1,1,0,0,路障我是几万粉开始看的，讲游戏非常有意思，讲书的话，就算了，更别提最近讲黑神话剧情了，纯纯自我臆想，有收钱洗白嫌疑。 至于你推荐的什么总裁，搬运老高，听个乐还行，当真可就贻笑大方了，最经典的阿鲁纳奇不会真有人信吧？ 其他我就不多说了，其实任何一个up，你自己只要有辩证能力，谁都可以关注，如果你没有，那你看谁都是非黑即白的。,https://www.zhihu.com/question/399244026/answer/3619361391#comment-10986983861
考古了,文学/读书,6,1,0,1,0,1,0,关注过一段时间，中间取关、关注又取关。整活视频有些是真的尬，也关注过峰哥一段时间，感觉李沛然的风格和他挺相似的。对他B站加的标签什么无语（刚发现的），考古是要搞田野实践的，不是说作几首怀古诗就叫考古了。感情考古学者是自己给自己封的？我从未见过有如此厚颜无耻之人！,https://www.zhihu.com/question/425443834/answer/3107696722#comment-10721327647
舆论压力也小得多,科普/自然科学,6,1,0,1,1,0,0,半佛的视频看两个就觉得腻了，没了段子和吊图，就没剩下多少东西了，不过这刚好契合了b站观众的接受程度，最重要的是他讲的也没啥问题。像老蒋那样从头到尾能把一小时讲满的人，几十万粉就差不多了，不过这样的up主舆论压力也小得多，不会承受非议。,https://www.zhihu.com/question/374641978/answer/1205390181#comment-933344133
还是要走出自己风格吧,综合知识/泛科普,6,1,0,1,0,0,1,up主还是要走出自己风格吧[捂脸],https://www.zhihu.com/question/438840235/answer/1672129735#comment-1233351392
那白岚,科普/自然科学,6,1,0,1,1,0,0,推荐一个纪录片up主那白岚,https://www.zhihu.com/question/19956869/answer/113068691#comment-153011588
也不错,综合知识/泛科普,5,1,0,1,1,0,0,还有个信息素的up主也不错[doge],https://www.zhihu.com/question/291506148/answer/3015453485#comment-10618077545
什么事儿,人文社科/国际政治,5,1,0,1,1,0,0,而且实际上，都说了是学术刊物了，一般人能看懂吗？有功夫和闲心吗？看了能有其他作用吗（不要杠，创作可以随时随地，但这些只有专业人员才能有用，费了半天劲捯饬别人专业叫什么事儿）？每个人都有选择的权利，为什么要因为别人看的不是专业就嗤之以鼻（本来就不是专业的啊，有毒）？而且我觉得其实不屑的80%都没看过读者。当然，我也没看过。,https://www.zhihu.com/question/39178728/answer/89939402#comment-853842757
分析这位小lin,综合知识/泛科普,5,1,0,1,0,1,0,看过一个up主分析这位小lin，根据以前发布的几期视频标题。观看量等等。通过标题专业程度、时长等等，小lin很快就完成反向筛选，阅读量和粉丝双双爆发。 其实她很会兼容受众。未必是人家水平不够深入，小lin北大毕业，在华尔街顶尖投行工作过，专业水平差不到哪去。,https://www.zhihu.com/question/537496812/answer/2011828839286855086#comment-11429154346
学起来,科普/自然科学,5,1,0,1,1,0,0,跟着小编的推荐学起来！,https://www.zhihu.com/question/376032562/answer/1120368698#comment-892705540
我也非常喜欢,综合知识/泛科普,5,1,0,1,1,0,0,第一个博主我也非常喜欢，但是粉丝多了以后广告特别多，凡是推广就说好，我就喜欢看她唱歌，其他的视频都不爱看了。,https://www.zhihu.com/question/41931111/answer/901497054#comment-783892169
有些人其实是这么想的,人文社科/国际政治,5,1,0,1,0,0,1,有些人其实是这么想的：让别的国家分割大陆和海洋，而我们中国满足于蓝色天空的时代已经过去 ，我们也要求阳光下的地盘,https://www.zhihu.com/question/630491518/answer/47696245551#comment-11058587170
田野上的信球吗,综合知识/泛科普,5,1,0,1,0,0,1,这哥们不是叫田野上的信球吗,https://www.zhihu.com/question/339335222/answer/3109168664#comment-10612501472
的YouTube摄影博主吗,艺术/审美,5,1,0,1,1,0,0,想问一下有推荐的YouTube摄影博主吗？,https://www.zhihu.com/question/312241261/answer/1066491001#comment-867650308
皇族电子竞技俱乐部官方账号,综合知识/泛科普,5,1,0,1,0,0,1,@皇族电子竞技俱乐部官方账号 2018-10-20，612646； 2018-10-22，583211； 两天掉了3万……,https://www.zhihu.com/question/343851396/answer/815349532#comment-737169013
都有受他早年视频风格的影响,综合知识/泛科普,5,1,0,1,0,1,0,水王是真的有才 现在很多成名up主都有受他早年视频风格的影响(比如某幻) 据说现在是为了生计离开狮子另谋出路了 相信他的才华在哪里都可以成功的 他 还有李彧小姐姐,https://www.zhihu.com/question/365100571/answer/966921907#comment-816328214
都认识啊,综合知识/泛科普,5,1,0,1,0,0,1,兄弟你是住在b站了么，这么多up主都认识啊,https://www.zhihu.com/question/438840235/answer/1672129735#comment-1233371151
pandapia,综合知识/泛科普,4,1,0,1,1,0,0,还有一个美食的叫“盗月社”，一个关于熊猫宝宝的叫“pandapia”我保证那里面的熊猫可以萌翻你。还有“警花说”，一个关于柴犬的叫“柴犬oka”感觉都挺不错的,https://www.zhihu.com/question/35569842/answer/782949366#comment-714497019
上海信和,计算机/编程,4,1,0,1,1,0,0,前两天上了一个车，是贴吧老哥那里上车的，也是我朋友配了一台后推荐给我的，叫上海信和，楼主可以去看看淘宝，我反正觉得挺到位的[害羞],https://www.zhihu.com/question/344527263/answer/877240131#comment-774410916
不多,综合知识/泛科普,4,1,0,1,0,0,1,在国内和油管长视频双开花的博主不多，她算一个，视频质量很过硬,https://www.zhihu.com/question/537496812/answer/1907966309989356230#comment-11182270332
充电,综合知识/泛科普,4,1,0,1,0,0,1,因为up之前放的微信截图，会因为各种原因被限制，所以我每次都给up主充电,https://www.zhihu.com/question/626962666/answer/1950853957434971587#comment-11289433623
刘雨轩,语言/英语,4,1,0,1,0,0,1,我叫刘雨轩。。。,https://www.zhihu.com/question/292372507/answer/798456280#comment-725748911
吃饭嘟督也是挨着幻坐的,综合知识/泛科普,4,1,0,1,1,0,0,我个人了解到的，不保证靠谱哈。其实嘟督和幻也是去年bw同房间才熟悉起来的，然后今年去迪斯尼的活动，幻也是跟半支烟嘟督一起行动的，这次bw吃鸡活动嘟督也说要跟着幻走，私下up主吃饭嘟督也是挨着幻坐的，可以肯定的是玩得很好，但是很少人吃cp啦😂,https://www.zhihu.com/question/264525046/answer/441814510#comment-489609634
对于现代上网的年轻人来说,综合知识/泛科普,4,1,0,1,0,0,1,绝大多数人也不会做这种博主 对于现代上网的年轻人来说，能不能翻墙基本上是一个智商过滤器,https://www.zhihu.com/question/521163320/answer/2919330433#comment-10491466178
就直接连人带帖拉黑,生物/医学健康,4,1,0,1,1,0,0,知乎上看到医学生推荐就直接连人带帖拉黑,https://www.zhihu.com/question/399244026/answer/3316268877#comment-10960230938
得欢,综合知识/泛科普,4,1,0,1,0,0,1,你看一下贾庆国、阎学通等的观点，区域国别评一级学科是纯属是争夺资源的无奈之举。张蕴岭他们叫得欢，能创造多少区域国别的知识也未可知。,https://www.zhihu.com/question/521163320/answer/2656624967#comment-10273710446
心虚把自己的回答删了,科普/自然科学,4,1,0,1,0,0,1,up主心虚把自己的回答删了,https://www.zhihu.com/question/662001657/answer/3569279386#comment-10940843399
我尿哈哈,综合知识/泛科普,4,1,0,1,0,0,1,弱弱提名我尿哈哈，在妈妈心里她就是美妆博主~,https://www.zhihu.com/question/41931111/answer/901497054#comment-784094105
易经,哲学,4,1,0,1,0,1,0,为啥不推荐易经 ？还有比易经格局大的书吗？天地人的运行規律全在里面。,https://www.zhihu.com/question/52815813/answer/940601393#comment-841312490
机器学习,计算机/编程,4,1,0,1,1,0,0,可以学，但没必要。很多优秀的讲深度学习的课都不需要什么ml基础，比如李沐大神的“动手学深度学习”，以及台大李宏毅教授的名叫“机器学习”实则讲深度学习的课。,https://www.zhihu.com/question/492545174/answer/3309259113#comment-10744857080
柴犬oka,综合知识/泛科普,4,1,0,1,1,0,0,还有一个美食的叫“盗月社”，一个关于熊猫宝宝的叫“pandapia”我保证那里面的熊猫可以萌翻你。还有“警花说”，一个关于柴犬的叫“柴犬oka”感觉都挺不错的,https://www.zhihu.com/question/35569842/answer/782949366#comment-714497019
殖人不可能三角,人文社科/国际政治,4,1,0,1,0,0,1,殖人不可能三角： 支持民主自由 支持自己的精神母国 做个人 [doge],https://www.zhihu.com/question/630491518/answer/47696245551#comment-11059019502
海权战略研究的,综合知识/泛科普,4,1,0,1,0,0,1,科普少了一个叫海权战略研究的,https://www.zhihu.com/question/312054931/answer/2994729526#comment-10539345997
海豚湾,科普/自然科学,4,1,0,1,1,0,0,强推《海豚湾》令人心碎又沉重的一部纪录片,https://www.zhihu.com/question/19956869/answer/113068691#comment-153035250
的塌房弄懵逼了,综合知识/泛科普,4,1,0,1,0,0,1,我tm以前也是这种人，虽然捐的不多，但被后续被些慈善机构和UP主的塌房弄懵逼了。 还有现在基本不看让我心情难受的视频[捂脸],https://www.zhihu.com/question/626962666/answer/1950853957434971587#comment-11289517912
的真的很实用,计算机/编程,4,1,0,1,1,0,0,真的太太太太太有用了，我去学完才发现答主推荐的真的很实用，一点都不虚,https://www.zhihu.com/question/22457234/answer/776523609#comment-713511531
的那天,综合知识/泛科普,4,1,0,1,1,0,0,而且这也是极少的情况了~还有你好像说的是一直路人学猴叫的那天，那天遇到的队友都不太正常讲话哈哈所以他可能有点急，但是我记得他并没有说些过分的话，后来的队友还一直教他说脏话，弹幕告诉大哥那个人在骂他，大哥还告诉我们这很正常，就像很多外国人来中国先学会的也是脏话一样~我觉得你是没有看完直播的吧。,https://www.zhihu.com/question/264525046/answer/441814510#comment-489855012
相比,综合知识/泛科普,4,1,0,1,0,1,0,做视频做那么久，后面会慢慢没有灵感也很正常，恰饭还是要恰饭的，但是恰饭不等于恰烂钱。看他最新视频就知道，他自己也提出了这个问题，停更这段时间也在思考这些东西。疫情期间，出了个蹭疫情恰饭视频确实算“恰烂钱”，但是后续做出的道歉捐款停更一系列动作，跟其他真正恰烂钱的up主相比，我觉得算真诚了。,https://www.zhihu.com/question/391541354/answer/1224685705#comment-944261961
科技区,财经/商业,4,1,0,1,0,0,1,叫科技区,https://www.zhihu.com/question/349862752/answer/1041078221#comment-854420407
给我的,计算机/编程,4,1,0,1,1,0,0,前两天上了一个车，是贴吧老哥那里上车的，也是我朋友配了一台后推荐给我的，叫上海信和，楼主可以去看看淘宝，我反正觉得挺到位的[害羞],https://www.zhihu.com/question/344527263/answer/877240131#comment-774410916
行尸走肉系列和童话镇,综合知识/泛科普,4,1,0,1,0,1,0,最近的视频质量的确有下降，如果想了解他的正常水平，推荐行尸走肉系列和童话镇,https://www.zhihu.com/question/384338338/answer/1130859578#comment-902446077
质量也不差,财经/商业,4,1,0,1,0,0,1,单论质量，有些几十万粉丝的up主质量也不差，但b站非得选人气高和商业价值高的,https://www.zhihu.com/question/8423988240/answer/69743965127#comment-11084377544
那里吃中国零食,综合知识/泛科普,4,1,0,1,1,0,0,那个野兽先生愿意出镜是因为他要开拓中国市场，他还去了另外一个阿婆主那里吃中国零食[飙泪笑]视频里他也很多次和观众互动说去推荐中国哪里拍视频。,https://www.zhihu.com/question/537496812/answer/1907966309989356230#comment-11182877282
雪球,财经/商业,4,1,0,1,0,1,0,我突然想起来，有个叫 雪球 网的地方，里面也有投资理财方面的资料，我一个玩金融的朋友以前告诉我的，我曾经看过其中的一些文章，感觉里面有人很会分析经济形势行业趋势，你可以看这篇官方介绍文章 - 雪球财经创始人方三文：雪球是如何滚起来的 。（仍然是只分享，不推荐）,https://www.zhihu.com/question/22238159/answer/20783349#comment-51618852
页全是她,综合知识/泛科普,4,1,0,1,1,0,0,是的，我非常讨厌这个女的，封面舔着个大脸，然后我就拉黑了，结果推荐页全是她，给我恶心的。,https://www.zhihu.com/question/626962666/answer/1960686109626435154#comment-11313930747
qq.com,哲学,3,4,0,4,0,0,4,电子版可否发邮箱39971028@qq.com,https://www.zhihu.com/question/52815813/answer/940601393#comment-820857506
VirtualMOD,综合知识/泛科普,3,1,0,1,1,0,0,还有一个up主VirtualMOD，之前和极客湾对刚过，很良心，推荐一波,https://www.zhihu.com/question/344527263/answer/877240131#comment-774912635
三哥高质量的UP,综合知识/泛科普,3,1,0,1,1,0,0,狼爸爸主要是做YouTube的，再推荐三哥高质量的UP，老蒋巨靠谱、李自然说、熊猫经济学。,https://www.zhihu.com/question/291506148/answer/884690034#comment-809557453
不比那些跳舞的,综合知识/泛科普,3,1,0,1,0,0,1,之前觉得这种up主 不比那些跳舞的 应该收入很低 [笑哭]没想到啊 这么赚钱[笑哭][笑哭][笑哭],https://www.zhihu.com/question/425443834/answer/3107696722#comment-10627812966
了解下,财经/商业,3,1,0,1,1,0,0,吴晓波频道推荐了解下，不过节目应该是在爱奇艺,https://www.zhihu.com/question/349862752/answer/1041078221#comment-854851176
人类星球,科普/自然科学,3,1,0,1,1,0,0,这些我好多也很喜欢！有的看了很多遍，推荐一个《人类星球》看了不知道多少遍，而且国产的我感觉舌尖上的中国很不错，镜头和连接什么的,https://www.zhihu.com/question/19956869/answer/113068691#comment-153023764
什么啊,生物/医学健康,3,1,0,1,0,0,1,那她卖的时候的id叫什么啊？[看看你],https://www.zhihu.com/question/399244026/answer/3959963263#comment-11028937470
列出了懒猫老师,计算机/编程,3,1,0,1,0,0,1,非常点赞up主列出了懒猫老师,https://www.zhihu.com/question/392126627/answer/2015671555#comment-10326372893
吃土豆的马铃薯,人文社科/国际政治,3,1,0,1,0,0,1,@吃土豆的马铃薯 哦哦哦哦大母鹅,https://www.zhihu.com/question/577103562/answer/2840274997#comment-10412531113
失业率也新高了呢,科普/自然科学,3,1,0,1,0,0,1,失业率也新高了呢：）,https://www.zhihu.com/question/349862752/answer/872076230#comment-806919739
我美女老师,综合知识/泛科普,3,1,0,1,0,0,1,哈哈哈北子哥，老番茄，要叫我美女老师，papi，柚子都在了，圆满,https://www.zhihu.com/question/327151685/answer/722303269#comment-681499284
捌月玖日未央,财经/商业,3,1,0,1,0,0,1,有一个经常喝testv一起录的up，但没有那么出名，叫捌月玖日未央，个人有迈凯轮什么的,https://www.zhihu.com/question/340571800/answer/895920861#comment-789722511
楼上另一个老哥装机刚报废一个2600,计算机/编程,3,1,0,1,0,0,1,有能力自己装机就不会来看这个回答了 讨论的就是【小白选购主机】 准备老哥还可以看看楼上另一个老哥装机刚报废一个2600,https://www.zhihu.com/question/344527263/answer/877240131#comment-775107302
涂点保湿霜,综合知识/泛科普,3,1,0,1,1,0,0,我微博关注了一个学化学 只推荐涂点保湿霜,https://www.zhihu.com/question/399244026/answer/3316268877#comment-10762315757
的水平的确是科普向的.,科普/自然科学,3,1,0,1,0,1,0,"36的那篇文章抄了就是抄了,事前加个引用也没人说你啥. 雪球的ycy爱好者研究的比巫师深入多了,而且比巫师水平高的不少. 还有,的确,这位up主的水平的确是科普向的.",https://www.zhihu.com/question/349862752/answer/872076230#comment-811817269
私联,人文社科/国际政治,3,1,0,1,1,0,0,你听那个直播里，20、30，50，还百大呢，不封了他不错了。按传统说法，这叫私联。[飙泪笑],https://www.zhihu.com/question/1997487716393317560/answer/2000503841897071666#comment-11406159388
科普类up,科普/自然科学,3,1,0,1,1,0,0,想念刘dark，推荐一个科普类up，回形针paperclip,https://www.zhihu.com/question/292372507/answer/802318758#comment-725960790
童小溪,历史/军事,3,1,0,1,1,0,0,HK中大有一套共和国史，10本出了7本（还是偏现在的官方史观吧，不过资料翔实些），CR方面推荐童小溪《极端年代的公民政治》，徐海亮的书，李逊的书，等等。,https://www.zhihu.com/question/20937728/answer/423275983#comment-986528114
给需要的小伙伴们,综合知识/泛科普,3,1,0,1,1,0,0,哈哈哈哈，我现在还不需要，不过可以推荐给需要的小伙伴们,https://www.zhihu.com/question/35569842/answer/782949366#comment-714530957
老师叫美女emmmmm,综合知识/泛科普,3,1,0,1,0,0,1,多拉的十九N……别叫老师叫美女emmmmm,https://www.zhihu.com/question/327151685/answer/722303269#comment-681479615
菊子桑,综合知识/泛科普,3,1,0,1,1,0,0,鬼畜区我最喜欢的两个up主：菊子桑，傲视在俗世上 坚持做一个题材，不蹭热度，调音功力深厚,https://www.zhihu.com/question/391500788/answer/1189694076#comment-938954961
财经方面和股票方面入门,综合知识/泛科普,3,1,0,1,1,0,0,麻烦请推荐财经方面和股票方面入门的up主，谢谢啦,https://www.zhihu.com/question/59989404/answer/1155204053#comment-916001693
鬼畜区我最喜欢的两个,综合知识/泛科普,3,1,0,1,1,0,0,鬼畜区我最喜欢的两个up主：菊子桑，傲视在俗世上 坚持做一个题材，不蹭热度，调音功力深厚,https://www.zhihu.com/question/391500788/answer/1189694076#comment-938954961
程序员鱼皮,计算机/编程,2,2,0,2,0,0,2,还有鱼皮老哥[微笑],https://www.zhihu.com/question/392126627/answer/2015671555#comment-10351900076
5w了,综合知识/泛科普,2,1,0,1,0,0,1,129.5w了,https://www.zhihu.com/question/291506148/answer/884690034#comment-799229267
CIA,综合知识/泛科普,2,1,0,1,1,0,0,这里推荐CIA的各国介绍，真的很全,https://www.zhihu.com/question/521163320/answer/2656624967#comment-10274472502
Linksphotograph,综合知识/泛科普,2,1,0,1,1,0,0,旅游UP推荐Linksphotograph和在远方的阿伦！,https://www.zhihu.com/question/312054931/answer/2994729526#comment-10540006389
Sean,综合知识/泛科普,2,1,0,1,0,0,1,今年王骁作为知识区鉴证UP上百大 @Sean Ye,https://www.zhihu.com/question/1997487716393317560/answer/2000503841897071666#comment-11406982685
一位美食博主,综合知识/泛科普,2,1,0,1,0,1,0,冷知识的话...科普类up我没怎么关注，如果你对历史比较感兴趣的推荐你一位专做历史题材互动视频的up“233历史研究所”，沉浸式历史互动游戏你值得拥有。鬼畜区up我关注的有“惜缘、过去”（号称b站方文山）以及“三木刃”（鬼畜新世界系列解锁鬼畜区追番成就）两位，这个区大佬太多，总能找到符合自己口味的。美妆健身恕在下无能为力，反而推荐一位美食博主“绵阳料理”，文案清奇，内容精良。我看你评论中有人推荐木鱼水心，是个人也很喜欢影视类博主，非常…,https://www.zhihu.com/question/286163357/answer/1078680364#comment-885814495
一堆垃圾up也是醉了,艺术/审美,2,1,0,1,0,1,0,居然没有tim，推荐一堆垃圾up也是醉了,https://www.zhihu.com/question/312241261/answer/1066491001#comment-872184867
三木刃,综合知识/泛科普,2,1,0,1,1,0,0,推荐三木刃，鬼畜新世界真的牛批,https://www.zhihu.com/question/391500788/answer/1189694076#comment-936802158
会不会耽误学习,学习/考试,2,1,0,1,0,0,1,这年纪做up主会不会耽误学习[思考],https://www.zhihu.com/question/308179641/answer/571269943#comment-727473168
你一位专做历史题材互动视频的up,综合知识/泛科普,2,1,0,1,0,1,0,冷知识的话...科普类up我没怎么关注，如果你对历史比较感兴趣的推荐你一位专做历史题材互动视频的up“233历史研究所”，沉浸式历史互动游戏你值得拥有。鬼畜区up我关注的有“惜缘、过去”（号称b站方文山）以及“三木刃”（鬼畜新世界系列解锁鬼畜区追番成就）两位，这个区大佬太多，总能找到符合自己口味的。美妆健身恕在下无能为力，反而推荐一位美食博主“绵阳料理”，文案清奇，内容精良。我看你评论中有人推荐木鱼水心，是个人也很喜欢影视类博主，非常…,https://www.zhihu.com/question/286163357/answer/1078680364#comment-885814495
你换个关键词搜索吧,人文社科/国际政治,2,1,0,1,0,0,1,你换个关键词搜索吧：人民群众与英雄人物的辩证关系。,https://www.zhihu.com/question/495149510/answer/6309385368#comment-11019260726
你看响当当系列和阿飞系列了,综合知识/泛科普,2,1,0,1,1,0,0,那必须推荐你看响当当系列和阿飞系列了,https://www.zhihu.com/question/384338338/answer/1130859578#comment-901274113
北大丘维声老师的,学习/考试,2,1,0,1,1,0,0,直接b站搜课程名字。一般高播放量的都还好。 数学分析我看的是科大史济怀老师的，也可以看复旦陈纪修老师的。 高代推荐北大丘维声老师的。 最后，希望能养成看书自学+独立思考+阅读英文教材的习惯[捂脸]个人感觉这些才是能在数学系混下去的最重要能力,https://www.zhihu.com/question/65864525/answer/1412498844#comment-1089354523
否恰饭也有了新的看法,综合知识/泛科普,2,1,0,1,0,0,1,毕竟这就是个蹭热度的推广，不是倒卖口罩这样的发国难财。我也不是圣人，扪心自问如果是我的话，人家给的够多我怕是开开心心就做了，既然我管不住自己那我就没资格管别人。而且看了林晨同学的视频后，我对up主是否恰饭也有了新的看法，林晨同学的mcn机构要求他蹭疫情热度来恰饭，我不知道基基是不是也是这个情况，既然不知道，我更不应该妄加揣测和随意评论。至于有钱不挣王八蛋这句话嘛，我在前面不是加了“毕竟”嘛，这是最差情况的语境，而且你想想，这句话一般不…,https://www.zhihu.com/question/391541354/answer/1224685705#comment-945901220
因为声音好听,综合知识/泛科普,2,1,0,1,1,0,0,狐狸是我关注的第一个恐怖区up主 因为声音好听,https://www.zhihu.com/question/327151685/answer/722303269#comment-711311538
安利初中优质老师的课,数学/物理,2,1,0,1,1,0,0,初中就一个[捂脸][捂脸][捂脸]，求多安利安利初中优质老师的课，资源太稀缺了,https://www.zhihu.com/question/19559151/answer/1330625981#comment-999234228
宋老师啊,历史/军事,2,1,0,1,1,0,0,吹爆宋老师啊,https://www.zhihu.com/question/265883810/answer/974890029#comment-822000076
对呀我觉得一个视频你5,综合知识/泛科普,2,1,0,1,1,0,0,对呀我觉得一个视频你5-10分钟长度你开一次就好了，为什么不停的在开，然后弹幕也一直刷黄色，观感真的不好，哎,https://www.zhihu.com/question/391541354/answer/1224685705#comment-945247733
小缸和阿灿,综合知识/泛科普,2,1,0,1,0,0,1,小缸和阿灿！！！我的快乐源泉！！！ 就是这别 @小缸和阿灿,https://www.zhihu.com/question/312054931/answer/939728186#comment-809052957
小高姐的魔法料理,综合知识/泛科普,2,1,0,1,1,0,0,做饭推荐一个小高姐的魔法料理🌝,https://www.zhihu.com/question/312054931/answer/939728186#comment-806787486
我买年卡,数学/物理,2,1,0,1,1,0,0,而且我想先买一轮的 客服推荐我买年卡 包括二轮 而且她说去年没有出二轮 今天可能也不出… 这是真的吗,https://www.zhihu.com/question/66268572/answer/241395862#comment-345392975
我们看过,语言/英语,2,1,0,1,0,1,0,木鱼水心我感觉大多是电影之类的吧，但是他讲解的红楼梦超棒，一度让我沉浸在红楼梦的故事里难以自拔，我们语文老师也推荐我们看过，学高一语文必修三的学生党可以去看看，有助于对红楼梦的理解,https://www.zhihu.com/question/292372507/answer/874294702#comment-919489545
我全部,综合知识/泛科普,2,1,0,1,1,0,0,非常好，你的宝藏up主我全部“拿下了”关注 [超得意],https://www.zhihu.com/question/292372507/answer/802318758#comment-725898506
我前夫,计算机/编程,2,1,0,1,1,0,0,推荐一个我前夫，B站阿婆主《我是土堆》[doge],https://www.zhihu.com/question/392126627/answer/2015671555#comment-10483372927
我是土堆,计算机/编程,2,1,0,1,1,0,0,推荐一个我前夫，B站阿婆主《我是土堆》[doge],https://www.zhihu.com/question/392126627/answer/2015671555#comment-10483372927
我的,生物/医学健康,2,1,0,1,1,0,0,黄金眼是真的好看，我同学推荐我的，看了停不下来,https://www.zhihu.com/question/35569842/answer/780301412#comment-712668555
我觉得他的三观不正格局太狭隘,语言/英语,2,1,0,1,1,0,0,我觉得那个什么奶爸的真不值得推荐我觉得他的三观不正格局太狭隘,https://www.zhihu.com/question/292372507/answer/853915682#comment-838558756
技师羊,综合知识/泛科普,2,1,0,1,0,0,1,b站上那个新up主技师羊，大祥哥都不一定干得过[飙泪笑],https://www.zhihu.com/question/340571800/answer/798621004#comment-789415394
提两个疑案讲解的,综合知识/泛科普,2,1,0,1,0,0,1,提两个疑案讲解的：X调查、唐唐说奇案。 每周坐等更。 吐槽类的：开心嘴炮。每次看都风狂点头 漫画类吐槽：黄一刀有毒。,https://www.zhihu.com/question/312054931/answer/939728186#comment-808840622
无限地接近,数学/物理,2,1,0,1,0,0,1,翻译翻译 什么叫“无限地接近”,https://www.zhihu.com/question/435369583/answer/2015062701626373287#comment-11435422285
昂克英文君好吧,生物/医学健康,2,1,0,1,1,0,0,英语昂克终于有人推了[大哭]太感动了，强烈推荐昂克英文君好吧,https://www.zhihu.com/question/291506148/answer/2810334107#comment-10393210763
洗面奶护肤品就像电气工程师推荐防辐射电磁辐射产品,科普/自然科学,2,1,0,1,1,0,0,医学生推荐洗面奶护肤品就像电气工程师推荐防辐射电磁辐射产品一样离谱,https://www.zhihu.com/question/399244026/answer/3316268877#comment-10805715686
渗透之C菌,综合知识/泛科普,2,1,0,1,1,0,0,我就爱老番茄！！游戏区还想推荐渗透之C菌！！,https://www.zhihu.com/question/312054931/answer/939728186#comment-808901260
溜了溜了,人文社科/国际政治,2,1,0,1,0,0,1,遛一遛白完人 @溜了溜了,https://www.zhihu.com/question/630491518/answer/24839360764#comment-11058085437
直接故意,法律,2,1,0,1,0,0,1,他火了我开心，他不火我难过，这叫直接故意； 他火了我开心，他不火我也开心，反正做人嘛，最重要就是开心,https://www.zhihu.com/question/377591050/answer/1073350448#comment-873248303
看电影了没,综合知识/泛科普,2,1,0,1,1,0,0,安利一下看电影了没，选题很棒，讲得很有深度,https://www.zhihu.com/question/312054931/answer/939728186#comment-806709598
给你,综合知识/泛科普,2,1,0,1,1,0,0,想要把大哥推荐给你🍺,https://www.zhihu.com/question/327151685/answer/722303269#comment-677208536
绵阳料理,综合知识/泛科普,2,1,0,1,0,1,0,冷知识的话...科普类up我没怎么关注，如果你对历史比较感兴趣的推荐你一位专做历史题材互动视频的up“233历史研究所”，沉浸式历史互动游戏你值得拥有。鬼畜区up我关注的有“惜缘、过去”（号称b站方文山）以及“三木刃”（鬼畜新世界系列解锁鬼畜区追番成就）两位，这个区大佬太多，总能找到符合自己口味的。美妆健身恕在下无能为力，反而推荐一位美食博主“绵阳料理”，文案清奇，内容精良。我看你评论中有人推荐木鱼水心，是个人也很喜欢影视类博主，非常…,https://www.zhihu.com/question/286163357/answer/1078680364#comment-885814495
芳斯塔夫和鬼谷藏龙了,历史/军事,2,1,0,1,1,0,0,那就必须要给你推荐芳斯塔夫和鬼谷藏龙了。,https://www.zhihu.com/question/399244026/answer/3619361391#comment-10987097588
葡式蛋挞重度爱好者,综合知识/泛科普,2,1,0,1,1,0,0,我提的这个UP叫葡式蛋挞重度爱好者，刚刚看了一下，才8000粉左右。他擅长用干扫➕对比漆来涂战锤模型，感兴趣可以去看一下,https://www.zhihu.com/question/8423988240/answer/69743965127#comment-11081571983
这几位吧,综合知识/泛科普,2,1,0,1,0,1,0,冷知识的话...科普类up我没怎么关注，如果你对历史比较感兴趣的推荐你一位专做历史题材互动视频的up“233历史研究所”，沉浸式历史互动游戏你值得拥有。鬼畜区up我关注的有“惜缘、过去”（号称b站方文山）以及“三木刃”（鬼畜新世界系列解锁鬼畜区追番成就）两位，这个区大佬太多，总能找到符合自己口味的。美妆健身恕在下无能为力，反而推荐一位美食博主“绵阳料理”，文案清奇，内容精良。我看你评论中有人推荐木鱼水心，是个人也很喜欢影视类博主，非常…,https://www.zhihu.com/question/286163357/answer/1078680364#comment-885814495
那里学习王者荣耀法师的技巧,地理/地缘,2,1,0,1,0,0,1,看到第一句 我要脸红一下 我是跑到B站up主那里学习王者荣耀法师的技巧 然后 emmmmmmm,https://www.zhihu.com/question/292372507/answer/802318758#comment-726199283
那里看不到的,综合知识/泛科普,2,1,0,1,0,0,1,这种无所谓的，我看他主要是它会烹饪，而且能够找到一些稀有贵重的鱼。这是在其他UP主那里看不到的。,https://www.zhihu.com/question/399244026/answer/3619361391#comment-10987127510
阅读邱澎生的评论文章,历史/军事,2,1,0,1,1,0,0,数目字管理那个推荐阅读邱澎生的评论文章,https://www.zhihu.com/question/19817884/answer/45008428#comment-610685434
