rank,pic_id,total_likes,post_likes,comment_likes,post_like_source_count,comment_source_count,mention_post_count,source_note_count,label,label_notes,media_owner_user_id,media_owner_nickname,media_owner_verified_type,width,height,large_url,url,sample_note_url,sample_text,source_keywords,top_evidence,image_name
34,005ttkF7ly1fzwjtbmsubj33282aoe82,64,64,0,1,0,1,1,person,real person polaroids,5016168845,Halophile_,0,2048,1536,https://wx1.sinaimg.cn/mw2000/005ttkF7ly1fzwjtbmsubj33282aoe82.jpg,https://wx1.sinaimg.cn/orj360/005ttkF7ly1fzwjtbmsubj33282aoe82.jpg,https://m.weibo.cn/detail/4336663452840391,黄婷婷 āāāāāāāāāāā─── 新年第二天 快递到啦！！ 印成拍立得效果好好ò！！（黑科技叭。 崽 新的一年要更更更爱你@SNH48-黄婷婷 ！！,,[strict_single_image_post 64 strong_image_keyword] 黄婷婷 āāāāāāāāāāā─── 新年第二天 快递到啦！！ 印成拍立得效果好好ò！！（黑科技叭。 崽 新的一年要更更更爱你@SNH48-黄婷婷 ！！ https://m.weibo.cn/detail/4336663452840391,top34_005ttkF7ly1fzwjtbmsubj33282aoe82.jpg
35,00775UGBgy1i9ioc6qu64j30k00ssduv,62,62,0,1,0,1,1,person,real person performance photo,6517773721,GnahzsTiKa,-1,720,1036,https://wx1.sinaimg.cn/mw2000/00775UGBgy1i9ioc6qu64j30k00ssduv.jpg,https://wx1.sinaimg.cn/orj360/00775UGBgy1i9ioc6qu64j30k00ssduv.jpg,https://m.weibo.cn/detail/5257636863543763,想问下titi这套造型是啥时候，能不能来几张这套造型的图。,,[strict_single_image_post 62 explicit_image+aesthetic_or_memory] 想问下titi这套造型是啥时候，能不能来几张这套造型的图。 https://m.weibo.cn/detail/5257636863543763,top35_00775UGBgy1i9ioc6qu64j30k00ssduv.jpg
36,008sEjjxly1ibx834fjzpj31400qo0ww,61,61,0,1,0,1,1,person,real person screenshot,7752407431,Voniev,-1,1440,960,https://wx4.sinaimg.cn/mw2000/008sEjjxly1ibx834fjzpj31400qo0ww.jpg,https://wx4.sinaimg.cn/orj360/008sEjjxly1ibx834fjzpj31400qo0ww.jpg,https://m.weibo.cn/detail/5284765934814394,黄婷婷 宝子们这个造型可以从哪里看到别的图片或视频啊？好喜欢这个造型！！！,,[strict_single_image_post 61 explicit_image+aesthetic_or_memory] 黄婷婷 宝子们这个造型可以从哪里看到别的图片或视频啊？好喜欢这个造型！！！ https://m.weibo.cn/detail/5284765934814394,top36_008sEjjxly1ibx834fjzpj31400qo0ww.jpg
37,005YRO6Ily1i4a01brgqmj30u00u10ut,60,60,0,1,0,1,1,person,real person performance photo,5480068320,一只小潞er,-1,1080,1081,https://wx3.sinaimg.cn/mw2000/005YRO6Ily1i4a01brgqmj30u00u10ut.jpg,https://wx3.sinaimg.cn/orj360/005YRO6Ily1i4a01brgqmj30u00u10ut.jpg,https://m.weibo.cn/detail/5198495455907207,黄婷婷 今天偶然考古翻到这张图，想问下各位t3这是哪次活动哇！好喜欢这个妆造,,[strict_single_image_post 60 explicit_image+aesthetic_or_memory] 黄婷婷 今天偶然考古翻到这张图，想问下各位t3这是哪次活动哇！好喜欢这个妆造 https://m.weibo.cn/detail/5198495455907207,top37_005YRO6Ily1i4a01brgqmj30u00u10ut.jpg
38,9dc56626ly1hio14qr5rnj20m90txtdk,59,59,0,1,0,1,1,person,real person ID-style photo,2646959654,邦邦吃椰糕,0,801,1077,https://wx2.sinaimg.cn/mw2000/9dc56626ly1hio14qr5rnj20m90txtdk.jpg,https://wx2.sinaimg.cn/orj360/9dc56626ly1hio14qr5rnj20m90txtdk.jpg,https://m.weibo.cn/detail/4954634542387055,黄婷婷 崽崽的证件照的变化史 看得出来审美一直再变 美貌却一直未变 ！！ 果然美貌是第一必杀技 好喜欢好喜欢 @黄婷婷 P1是说拍了证件照 但没看到图 所以自己抠了一张,,[strict_post_ref_p1 59 explicit_image+aesthetic_or_memory] 黄婷婷 崽崽的证件照的变化史 看得出来审美一直再变 美貌却一直未变 ！！ 果然美貌是第一必杀技 好喜欢好喜欢 @黄婷婷 P1是说拍了证件照 但没看到图 所以自己抠了一张 https://m.weibo.cn/detail/4954634542387055,top38_9dc56626ly1hio14qr5rnj20m90txtdk.jpg
39,008KAfnZgy1i6zbldcuj1j320i140e0b,57,57,0,1,0,1,1,person,real person wallpaper,8017413067,Higherthinking,-1,2048,1129,https://wx1.sinaimg.cn/mw2000/008KAfnZgy1i6zbldcuj1j320i140e0b.jpg,https://wx1.sinaimg.cn/orj360/008KAfnZgy1i6zbldcuj1j320i140e0b.jpg,https://m.weibo.cn/detail/5229001211909438,黄婷婷 做了电脑壁纸。 燃尽了 做的一般主要靠脸，别骂我,,[strict_single_image_post 57 explicit_image+aesthetic_or_memory] 黄婷婷 做了电脑壁纸。 燃尽了 做的一般主要靠脸，别骂我 https://m.weibo.cn/detail/5229001211909438,top39_008KAfnZgy1i6zbldcuj1j320i140e0b.jpg
40,008s8wnWgy1i8h587ig1qj30po11ytcy,54,54,0,2,0,2,2,person,real person cute photo,7744831180,snowwly,-1,924,1366,https://wx1.sinaimg.cn/mw2000/008s8wnWgy1i8h587ig1qj30po11ytcy.jpg,https://wx1.sinaimg.cn/orj360/008s8wnWgy1i8h587ig1qj30po11ytcy.jpg,https://m.weibo.cn/detail/5245872607596461,黄婷婷 考古到这组图真的萌晕了咋这么可爱！,,[strict_single_image_post 52 explicit_image+aesthetic_or_memory] 黄婷婷 考古到这组图真的萌晕了咋这么可爱！ https://m.weibo.cn/detail/5245872607596461 || [strict_single_image_post 2 explicit_image+aesthetic_or_memory] 黄婷婷 #黄婷婷怎么这么可爱# 黄婷婷 考古到这组图真的萌晕了咋这么可爱！ https://m.weibo.cn/detail/5245926345802953,top40_008s8wnWgy1i8h587ig1qj30po11ytcy.jpg
41,008Y1TvUgy1ibdpjvu5o0j30wi1ceacd,52,52,0,1,0,1,1,person,real person original-photo request,8216094542,企鹅全肯定,-1,1170,1742,https://wx1.sinaimg.cn/mw2000/008Y1TvUgy1ibdpjvu5o0j30wi1ceacd.jpg,https://wx1.sinaimg.cn/orj360/008Y1TvUgy1ibdpjvu5o0j30wi1ceacd.jpg,https://m.weibo.cn/detail/5278648821090447,黄婷婷 老师们有没有这张的原图啊好喜欢这张但是好糊求求求,,[strict_single_image_post 52 strong_image_keyword] 黄婷婷 老师们有没有这张的原图啊好喜欢这张但是好糊求求求 https://m.weibo.cn/detail/5278648821090447,top41_008Y1TvUgy1ibdpjvu5o0j30wi1ceacd.jpg
42,005yzDFhly1g5pnk1bbpuj30u01hc15k,51,51,0,1,0,1,1,person,real person selfie-related photo,5091553539,Corrini揪一口香菜,-1,1080,1920,https://wx3.sinaimg.cn/mw2000/005yzDFhly1g5pnk1bbpuj30u01hc15k.jpg,https://wx3.sinaimg.cn/orj360/005yzDFhly1g5pnk1bbpuj30u01hc15k.jpg,https://m.weibo.cn/detail/4402206629371786,黄婷婷距离婷姐上次自拍已经过去了27天,,[strict_single_image_post 51 strong_image_keyword] 黄婷婷距离婷姐上次自拍已经过去了27天 https://m.weibo.cn/detail/4402206629371786,top42_005yzDFhly1g5pnk1bbpuj30u01hc15k.jpg
43,005URZvXgy1g2iptquxrxj33j52ctb2a,50,50,0,1,0,1,1,person,real person event photo,5421006825,RYOHEY-09,-1,2048,1366,https://wx4.sinaimg.cn/mw2000/005URZvXgy1g2iptquxrxj33j52ctb2a.jpg,https://wx4.sinaimg.cn/orj360/005URZvXgy1g2iptquxrxj33j52ctb2a.jpg,https://m.weibo.cn/detail/4366179260727085,190413 偶像运动会 返图5 @SNH48-黄婷婷 #SNH48偶像运动会#,,[strict_post_ref_p5 50 strong_image_keyword] 190413 偶像运动会 返图5 @SNH48-黄婷婷 #SNH48偶像运动会# https://m.weibo.cn/detail/4366179260727085,top43_005URZvXgy1g2iptquxrxj33j52ctb2a.jpg
44,0071Gk57gy1i79tm9wr84j30xi20u47s,47,47,0,1,0,1,1,person,real person magazine styling,6437793133,柚多活了一天,0,1206,2622,https://wx2.sinaimg.cn/mw2000/0071Gk57gy1i79tm9wr84j30xi20u47s.jpg,https://wx2.sinaimg.cn/orj360/0071Gk57gy1i79tm9wr84j30xi20u47s.jpg,https://m.weibo.cn/detail/5232292861842979,黄婷婷 这一身是杂志妆造！小卡选图必须要有这套好吗🥹爱信等这个富江婷,,[strict_single_image_post 47 explicit_image+aesthetic_or_memory] 黄婷婷 这一身是杂志妆造！小卡选图必须要有这套好吗🥹爱信等这个富江婷 https://m.weibo.cn/detail/5232292861842979,top44_0071Gk57gy1i79tm9wr84j30xi20u47s.jpg
45,006IeTKsly1gutuezndgwj60u01hc4at02,46,46,0,1,0,1,1,person,real person airport photo,6150506668,素妗的妖精,-1,1080,1920,https://wx3.sinaimg.cn/mw2000/006IeTKsly1gutuezndgwj60u01hc4at02.jpg,https://wx3.sinaimg.cn/orj360/006IeTKsly1gutuezndgwj60u01hc4at02.jpg,https://m.weibo.cn/detail/4685631168711906,黄婷婷你心目中的机场图top1是哪个呢？我是这套,,[strict_single_image_post 46 strong_image_keyword] 黄婷婷你心目中的机场图top1是哪个呢？我是这套 https://m.weibo.cn/detail/4685631168711906,top45_006IeTKsly1gutuezndgwj60u01hc4at02.jpg
46,008b4OqYly1gid8ktgfn3j31c02dcnpd,44,44,0,1,0,1,1,person,real person costume/portrait,7492749536,濯濯照月渡,-1,1728,3072,https://wx4.sinaimg.cn/mw2000/008b4OqYly1gid8ktgfn3j31c02dcnpd.jpg,https://wx4.sinaimg.cn/orj360/008b4OqYly1gid8ktgfn3j31c02dcnpd.jpg,https://m.weibo.cn/detail/4545012702128813,黄婷婷htt#黄婷婷翠狐戏夫# 💫#黄婷婷0908生日快乐# 桃花迷人眼，躲在树上的人更让人挪不开眼睛@titi黄_ •修图9p •禁二改 涂抹水印,,[strict_post_ref_p9 44 strong_image_keyword] 黄婷婷htt#黄婷婷翠狐戏夫# 💫#黄婷婷0908生日快乐# 桃花迷人眼，躲在树上的人更让人挪不开眼睛@titi黄_ •修图9p •禁二改 涂抹水印 https://m.weibo.cn/detail/4545012702128813,top46_008b4OqYly1gid8ktgfn3j31c02dcnpd.jpg
47,008peTchly1i4d8ktsyp6j30js190wkv,43,43,0,1,0,1,1,person,real person phone wallpaper,7702019829,晚风吹过雨林,-1,712,1620,https://wx4.sinaimg.cn/mw2000/008peTchly1i4d8ktsyp6j30js190wkv.jpg,https://wx4.sinaimg.cn/orj360/008peTchly1i4d8ktsyp6j30js190wkv.jpg,https://m.weibo.cn/detail/5199509971011736,黄婷婷 做了两张踢踢的手机壁纸,,[strict_post_ref_p2 43 strong_image_keyword] 黄婷婷 做了两张踢踢的手机壁纸 https://m.weibo.cn/detail/5199509971011736,top47_008peTchly1i4d8ktsyp6j30js190wkv.jpg
48,007WlfXqly1i2xf7t4ofqj30sg1emwix,42,42,0,1,0,1,1,person,real person collage/wallpaper,7275023544,我没说愿意,-1,1024,1822,https://wx4.sinaimg.cn/mw2000/007WlfXqly1i2xf7t4ofqj30sg1emwix.jpg,https://wx4.sinaimg.cn/orj360/007WlfXqly1i2xf7t4ofqj30sg1emwix.jpg,https://m.weibo.cn/detail/5183268383097620,黄婷婷 做了几个titi的拼贴壁纸，再次感慨:好伟大的一张脸！#黄婷婷# @黄婷婷,,[strict_post_ref_p1 42 explicit_image+aesthetic_or_memory] 黄婷婷 做了几个titi的拼贴壁纸，再次感慨:好伟大的一张脸！#黄婷婷# @黄婷婷 https://m.weibo.cn/detail/5183268383097620,top48_007WlfXqly1i2xf7t4ofqj30sg1emwix.jpg
49,005PMHTyly1g8is5fco2hj30la0sdq86,42,42,0,1,0,1,1,person,real person retouched photo,5345865776,时汀-,-1,766,1021,https://wx3.sinaimg.cn/mw2000/005PMHTyly1g8is5fco2hj30la0sdq86.jpg,https://wx3.sinaimg.cn/orj360/005PMHTyly1g8is5fco2hj30la0sdq86.jpg,https://m.weibo.cn/detail/4433906143020599,黄婷婷. #黄婷婷脸蛋天才# 随手修两张美女 然而原图就很好看也不知道在调什么,,[strict_post_ref_p2 42 explicit_image+aesthetic_or_memory] 黄婷婷. #黄婷婷脸蛋天才# 随手修两张美女 然而原图就很好看也不知道在调什么 https://m.weibo.cn/detail/4433906143020599,top49_005PMHTyly1g8is5fco2hj30la0sdq86.jpg
50,007HtXcqgy1i5ft6v90h1j319q1tg183,41,41,0,1,0,1,1,person,real person face photo,7055451350,ZZYTXRRKK,-1,1646,2356,https://wx1.sinaimg.cn/mw2000/007HtXcqgy1i5ft6v90h1j319q1tg183.jpg,https://wx1.sinaimg.cn/orj360/007HtXcqgy1i5ft6v90h1j319q1tg183.jpg,https://m.weibo.cn/detail/5211600849472520,黄婷婷 这张脸爽死我了,,[strict_single_image_post 41 explicit_image+aesthetic_or_memory] 黄婷婷 这张脸爽死我了 https://m.weibo.cn/detail/5211600849472520,top50_007HtXcqgy1i5ft6v90h1j319q1tg183.jpg
