sampleId,sourcePlatform,keyword,title,audience,scenario,categories,motives,likedCount,collectedCount,commentCount,sharedCount,engagementScore,hasDetail,descExcerpt,commentNeedSignals,suspectedCommercial,capturedAt
xhs_96a239d3f7,小红书,宿舍好物 大学生,🧺开学必备｜准大一要买些什么,大学生,开学/返校,宿舍生活,平价性价比|实用刚需,969,378,5,76,1584,yes,还有什么需要准备的呢[萌萌哒R] #开学带这些[话题]# #大学宿舍好物[话题]# #开学好物[话题]# #生活必需用品[话题]# #学生党好物分享[话题]# #大学生好物[话题]# #好物分享[话题]# #宿舍必备[话题]# #宿舍平价好物[话题]# #新生开学[话题]#,那个床帘可以的，挺不错 | 都能用的上 | 都很实用哇😯 | 都是必备品,unknown,2026-06-12
xhs_6d1bde5b01,小红书,宿舍好物 大学生,INTJ的大学生宿舍好物合集,大学生,开学/返校,宿舍生活,未显式,14,4,1,0,21,no,,,yes,2026-06-12
xhs_584ee8d658,小红书,宿舍好物 大学生,我爱Pdd之好物分享（第六弹）,大学生,开学/返校,宿舍生活|服饰鞋包,平价性价比|实用刚需,3621,1636,80,105,6064,yes,不知不觉 竟然买过 这么多东西 原来是一个很爱网购的小女孩 #大学生活分享篇[话题]##大学生好物分享[话题]##无广告纯分享[话题]##大学生平价好物[话题]##大一新生[话题]##我在宿舍搞装修[话题]##大学生必备[话题]# #自用好物分[话题]# #大学宿舍[话题]##pdd[话题]#,穿起来响么 有臭味么 | 这种平价好物真的不错[偷笑R] | 那个耳塞是假货吧 | 耳塞真的很好用(›´ω`‹),yes,2026-06-12
xhs_a14e7a22a1,小红书,宿舍好物 大学生,总结篇｜🧾长期主义万分满意的宿舍好物🫧,大学生,开学/返校,宿舍生活,未显式,415,218,4,18,733,no,,,unknown,2026-06-12
xhs_742fcb91df,小红书,宿舍好物 大学生,宿舍好物分享来啦 纯干货超实用！,大学生,开学/返校,宿舍生活,实用刚需,72,32,2,4,123,no,,,unknown,2026-06-12
xhs_bc369e9343,小红书,宿舍好物 大学生,准大一开学宿舍好物清单😛,大学生,开学/返校,宿舍生活,实用刚需,41,9,1,3,58,no,,,unknown,2026-06-12
xhs_37a88afd94,小红书,宿舍好物 大学生,06女大|宿舍好物分享,大学生,开学/返校,宿舍生活,未显式,37,9,11,5,77,no,,,unknown,2026-06-12
xhs_ee2205245c,小红书,宿舍好物 大学生,🛒女大学生宿舍爱用好物分享！无广！！,大学生,开学/返校,宿舍生活,未显式,287,87,17,17,459,no,,,yes,2026-06-12
xhs_c49d15e15c,小红书,宿舍好物 大学生,长期主义｜考研党必备好物分享！🧸,大学生,开学/返校,3C数码/配件|文具手账|宿舍生活|饰品配件|服饰鞋包,平价性价比|实用刚需|仪式感/情绪价值,1404,475,7,54,2116,yes,本期是考研好物分享第二弹！ 看看有没有宝宝们需要的好物吧 #学生党平价好物[话题]# #翻包记[话题]# #考研[话题]# #考研好物[话题]# #学生党好物分享[话题]# #笔记本[话题]##大学生爱用[话题]# #年度幸福感好物[话题]# #护腰坐垫[话题]# #可调节腰靠[话题]#,托特包包和平板多少钱？ | 插排在哪买啊 识图没搜到[抽泣R] | 小风扇是充电款还是插电款 | 他们说到处评论评论就会有流量,unknown,2026-06-12
xhs_8d234e8f7f,小红书,宿舍好物 大学生,大学寝室里买什么可以增加幸福感？,大学生,开学/返校,宿舍生活,实用刚需|仪式感/情绪价值,1676,603,734,250,4302,yes,#大学生[话题]# #大学生活[话题]# #大学宿舍好物[话题]# #理想的大学生活[话题]# #寝室[话题]# #大学生好物[话题]# #大学生精神支柱[话题]# #大学生必备[话题]# #宿舍必备[话题]# #提升幸福感好[话题]#,回家的车票[害羞R] | 幸福☺️ | 椅子啊啊啊啊真的巨舒服，比本来的硬椅子坐着得劲多了[心心眼R] | 下桌帘，最伟大的存在,unknown,2026-06-12
xhs_6e90c4b1b6,小红书,宿舍好物 大学生,女大学生长期主义好物分享来啦,大学生,开学/返校,宿舍生活,未显式,36,7,6,0,57,no,,,unknown,2026-06-12
xhs_49e2565ea2,小红书,学生党礼物,🇲🇾 身为老师的疑问,泛学生/同学,班级奖励/集体分发,其他礼物/综合,未显式,33,9,26,2,99,no,,,unknown,2026-06-12
xhs_c49d15e15c,小红书,学生党礼物,长期主义｜考研党必备好物分享！🧸,大学生,开学/返校,3C数码/配件|文具手账|宿舍生活|饰品配件|服饰鞋包,平价性价比|实用刚需|仪式感/情绪价值,1404,475,7,54,2116,yes,本期是考研好物分享第二弹！ 看看有没有宝宝们需要的好物吧 #学生党平价好物[话题]# #翻包记[话题]# #考研[话题]# #考研好物[话题]# #学生党好物分享[话题]# #笔记本[话题]##大学生爱用[话题]# #年度幸福感好物[话题]# #护腰坐垫[话题]# #可调节腰靠[话题]#,托特包包和平板多少钱？ | 插排在哪买啊 识图没搜到[抽泣R] | 小风扇是充电款还是插电款 | 他们说到处评论评论就会有流量,unknown,2026-06-12
xhs_3041308823,小红书,学生党礼物,分享一些适合送给朋友的生日礼物78.0🎁,泛学生/同学,同学/朋友日常,其他礼物/综合,平价性价比|仪式感/情绪价值|颜值/可爱,927,344,4,38,1439,yes,#平价生日礼物[话题]# #女生生日礼物[话题]# #可爱好物[话题]# #小众礼物[话题]# #高颜值礼物[话题]# #提升幸福感的小物[话题]# #创意礼物[话题]# #闺蜜礼物[话题]# #礼物送女生[话题]# #家中好物真心话小会[话题]#,我也在给闺闺找礼物，姐妹们有推荐的可以发我评论区吗[害羞R][害羞R] | 谁懂啊，把自己的经历写成歌，做成相框扫码就能听，每一句都很戳.心 5[飞吻R] | 我给我孩子买了这个手表，他真的很喜欢,yes,2026-06-12
xhs_c861da0c91,小红书,学生党礼物,二年级每天在用的卷娃好物，便携好用,边缘低龄/教师奖励,同学/朋友日常,3C数码/配件|文具手账,实用刚需,848,491,23,99,1680,yes,坐标北京，小学二年级，弟弟中班，今天给大家分享一下自用的学习好物！ 1.听力熊 2.AI拍学机 3.相机 4.录音机麦克风 5.口算宝 6.词典笔 7.单词机 8.耳麦 9.自律打卡机 #娃的兴趣养成记[话题]# #小学生礼物[话题]# #送给孩子的礼物[话题]# #激励孩子学习的动力[话题]# #儿童生日礼物[话题]# #适合小学生[话题]# #家有小学生[话题]# #便携[话题]# #省妈神器[话题]# #小红书校园日记[话题]#,词典笔什么牌子的 | 无限耳机什么牌子的哈 | 小相机是哪个牌子 | 这个ai拍学机是谁家的呀,unknown,2026-06-12
xhs_c9f4052896,小红书,学生党礼物,10岁小朋友生日礼物合集🦄必须送到心坎上,边缘低龄/教师奖励,同学/朋友日常,IP潮玩/玩具|食品零食|服饰鞋包,仪式感/情绪价值,8475,4500,108,1522,16824,yes,外甥女10岁啦！准备了10个礼物～（实际超了[偷笑R]） 平时家里娃娃玩偶太多了，这次娃娃类的都没有准备 10岁生日我们也准备了大红包🧧不过小孩子肯定还是喜欢实际的礼物哒！ 把10个礼物都包起来，装进大号的礼物盒🎁礼物盒也是特地挑的外甥女喜欢的粉粉三丽欧，一整个体验拆礼物的快感，情绪价值拉满[派对R] #小女孩生日礼物[话题]# #生日礼物推荐[话题]# #给孩子的仪式感[话题]# #小学生礼物[话题]##10岁生日[话题]#,这个可以给个店铺吗 | 求问同款尺寸[哭惹R][哭惹R] | 都觉得不错，有没有链接 | 巧克力是哪家呀,yes,2026-06-12
xhs_a5a6ec37ad,小红书,学生党礼物,🤲🏻Share｜一些让朋友平日能想起你的小礼物,泛学生/同学,同学/朋友日常,其他礼物/综合,未显式,562,366,9,19,1083,no,,,unknown,2026-06-12
xhs_4e68f716aa,小红书,学生党礼物,儿童节礼物2⃣️:小朋友们都喜欢的创意手工。,边缘低龄/教师奖励,同学/朋友日常,其他礼物/综合,未显式,666,463,28,30,1368,no,,,unknown,2026-06-12
xhs_3f6b12a4e7,小红书,学生党礼物,小朋友礼物🎁初中生礼物✅好用实用学生必备,初高中生,开学/返校,其他礼物/综合,实用刚需,126,49,5,10,214,no,,,unknown,2026-06-12
xhs_2cfd00e6b8,小红书,学生党礼物,小朋友的快乐很简单！便宜的奖励物品👍,边缘低龄/教师奖励,同学/朋友日常,其他礼物/综合,平价性价比,76,56,1,15,172,no,,,unknown,2026-06-12
xhs_949ebbcd53,小红书,学生党礼物,学生党电子产品好物合集⁺.*☆,边缘低龄/教师奖励,泛礼物灵感,3C数码/配件,实用刚需|仪式感/情绪价值|颜值/可爱,2667,615,16,103,3652,yes,#治愈[话题]# #可爱[话题]# #电子产品[话题]# #好物推荐[话题]# #上学[话题]# #学习[话题]# #古早[话题]# #拍立得[话题]# #好物分享[话题]# #学习好物[话题]#,二年级的女儿喜欢听歌，想买个IPOD，有推荐吗？或者MP3/MP4也可以 | 打印机是拍立得吗？还是要连接手机 | 打印机点买 | 打印机好用吗，楼主大大,yes,2026-06-12
xhs_07432b2b01,小红书,学生党礼物,小学生礼物推荐！ 200元内实用又可爱！,边缘低龄/教师奖励,泛礼物灵感,其他礼物/综合,实用刚需|颜值/可爱,665,398,17,111,1382,no,,,yes,2026-06-12
xhs_1e707f73aa,小红书,学生党礼物,礼物推荐 | 又是一些超适合送给男生的东西,泛学生/同学,情侣/暧昧送礼,3C数码/配件|服饰鞋包,实用刚需,1597,1293,11,182,3572,yes,之前分享了一些适合用来当礼物的数码设备 没想到收到了那么多人的喜欢和收藏 那这次就再分享一些适合送给男生的东西吧 - 我觉得男生大部分都会对数码科技感兴趣 所以不知道送什么的时候可以往这方面想想 比如机甲风格，或是一些带金属质感的 还可以送一些平时生活中经常会用到的东西 比如刮胡刀，电动牙刷或者鞋子之类的 我想有很多男生应该也都会对鞋子感兴趣 不过我觉得关键还是既要有新意又得实用 毕竟送出去的东西还是希望对方都能用得到 这次分享的我觉得,呜呜要是有100左右的好物就好了[哭惹R] | airpods可以连安卓手机嘛，他是安卓手机 | 想到筹码的这个人是天才 | 第一个充电器可以快充苹果手表吗,yes,2026-06-12
xhs_98e4d4333c,小红书,学生党礼物,儿童挑礼物，实用性价比两手抓,边缘低龄/教师奖励,毕业/升学,3C数码/配件|IP潮玩/玩具|定制纪念,平价性价比|实用刚需|定制纪念,3846,1132,189,423,6329,yes,给0 - 15岁孩子选礼物可太难了，便宜的怕质量不行，贵的又肉疼，挑来选去，选择困难症都要犯了。选对礼物，不仅能让孩子开心，还能助力成长。要是选错，钱花了不说，孩子不喜欢，放家里还占地方。 别愁啦！今天就给大家分享那些性价比超高的礼物，绝对实用又不贵，不玩虚的，直接上干货，闭眼抄作业就行👇 #儿童节礼物[话题]# #儿童礼物[话题]# #618小红书买买节[话题]# #宝宝礼物[话题]# #益智玩具[话题]# #育儿经验分享[话题]# ,虽然我12岁，但是这里提供的10到15岁的礼物我都不喜欢[捂脸R] | 7岁不知道买什么了，0-15岁的礼物，除了头戴式耳机，另外全买过了[笑哭R]，怎么办，不知道送什么了[笑哭R] | 我想知道12岁女孩喜欢什么，小学毕业礼送什么好 | 显微镜是鸡肋吗,yes,2026-06-12
xhs_534e349582,小红书,学生党礼物,儿童礼物你还不知道送什么？,边缘低龄/教师奖励,泛礼物灵感,文具手账|IP潮玩/玩具,实用刚需,3384,1149,30,373,5496,yes,如果你还不知道怎么发现孩子的爱好，不如从孩子的礼物入手，0-15岁儿童礼物列表让你帮助孩子找到他|她的潜力值。,分享你们的觉得有趣的玩具，让孩子的生活更有色彩。 | 买的显微镜，学习生物课也能用到，还是挺有意思的。 | 六年级男孩喜欢什么，想选礼物给外甥 | toy,yes,2026-06-12
xhs_c175babc05,小红书,学生党礼物,家人们谁懂啊！给初中生选礼物也太考验人了,初高中生,泛礼物灵感,其他礼物/综合,未显式,15,1,13,0,42,no,,,unknown,2026-06-12
xhs_66d67d0e38,小红书,学生党礼物,年度盘点｜小学生实用学习用品文具清单💁‍♀️,边缘低龄/教师奖励,开学/返校,文具手账,实用刚需,91,47,4,7,170,no,,,unknown,2026-06-12
xhs_ec602d9b7f,小红书,高中生送礼,超详细高中生送礼指南（平价无广）,初高中生,同学/朋友日常,食品零食|服饰鞋包,平价性价比|实用刚需,5852,2399,13,136,9200,yes,大家是不是经常不知道送朋友什么礼物？身为高中生又预算有限，害怕送不到朋友喜欢的礼物🎁 希望这份送礼指南可以帮助到你！包含送礼思路，送礼类型，还有如何包装[红色心形R]全程无广！ #平价生日礼物[话题]# #礼物送女生[话题]# #生日礼物推荐[话题]# #女生生日礼物[话题]# #平价实用好物分享[话题]# #高中[话题]# #礼物[话题]#,手工类的怎么选哇[哭惹R] | 猎罪图鉴！ | 这么全这么实用 | 想要那个巧克力的链接[害羞R][萌萌哒R],yes,2026-06-12
xhs_7427c246db,小红书,高中生送礼,高考礼物🎁 | 送给高考生的实用好寓意礼物,初高中生,毕业/升学,其他礼物/综合,实用刚需,39,14,1,6,68,no,,,unknown,2026-06-12
xhs_4ce4665906,小红书,高中生送礼,高二儿子给我一个艰巨任务😭买女同学礼物😂,初高中生,同学/朋友日常,3C数码/配件|文具手账|宿舍生活|饰品配件|IP潮玩/玩具|食品零食|服饰鞋包,颜值/可爱,2291,323,801,83,4436,yes,昨晚接儿子放学，上车后儿子说妈妈我想和你商量一件事情，我说嗯你说吧，什么事🤔 我那好朋友**要过生日了，我们几个人都要送礼物的，但是妈妈女生的礼物我不知道买什么😂你帮我买吧，我相信你的眼光，哎呀彩虹屁说来就来真的是[喝奶茶R]上次国庆去义乌，也让儿子给几个小伙伴都挑了礼物，儿子说他们都很喜欢😘 今天看了一下选了几个：图2的小包包，图3的手帐本，图4的笔记本，图5小挂件，图6拼图🧩我想选择其中2个，到底应该怎么选呢[喝奶茶R]我也真的不是,反正你选的这几个都不好看哈哈哈 | 我带的高中女学生很喜欢jelly cat 的玩偶[笑哭R] | 跟在下面问一下，给高一的男孩买生日礼物，应该送什么？替女孩问[汗颜R] | 以下是我的几个参考[飞吻R]little的企鹅很可爱,unknown,2026-06-12
xhs_455873d105,小红书,高中生送礼,1000块预算礼物挑选思路（已屏蔽好友）,初高中生,情侣/暧昧送礼,3C数码/配件|个护香氛|服饰鞋包,实用刚需|仪式感/情绪价值|颜值/可爱|社交体面,3910,1797,20,451,6962,yes,一、电子产品类 1.如果对方没有AirPods或者刚好弄丢了，可以送一个AirPods，简单又实用 2.小米音箱也是不错的选择，能提升幸福感 3.宝丽来的拍立得，比较文艺范儿或喜欢拍照的女生会很喜欢 4.喜欢打游戏的其实可以送键盘，但我对键盘没什么研究，懂的可以说说 二、大牌彩妆 1.海蓝之谜润唇膏绝对不会出错 2.香奈儿这个发香喷雾也很可，淡淡的香味 3.没有女生会不喜欢祖玛珑吧？很拿得出手了 4.不建议盲买护肤品、粉底液眼影、口红套,送正常女性朋友，企业高管，小清新一枚，1000元内[doge]，请帮忙推荐。 | 都是这种无聊的东西[哭惹R] | 给个链接 | 这种最有意思了,yes,2026-06-12
xhs_de6896e87b,小红书,高中生送礼,高考礼物🎁：家长篇,初高中生,毕业/升学,其他礼物/综合,未显式,8,4,1,1,16,no,,,unknown,2026-06-12
xhs_89f3cd80a2,小红书,高中生送礼,生日礼物推荐（已屏蔽本人）,初高中生,毕业/升学,3C数码/配件|文具手账|宿舍生活|个护香氛|饰品配件|IP潮玩/玩具|定制纪念|服饰鞋包|运动户外,平价性价比|实用刚需|定制纪念,2574,742,483,239,4862,yes,女高生日礼物推荐，关系特别特别好，我真的没招了[哭惹R]300以内的，便宜点的多买几个也行[哭惹R][哭惹R] 不要毛绒，她皮肤敏感。 不要摆件 ，手工制品，茶叶，盲盒，书籍，水晶类的 ，挂件，日程本，杯具 ，蝴蝶标本，干花 ，香薰，扩香石，护手霜，书签 ，台历，梳子，手链，项链，小夜灯，音响，耳机，相机，木梳。 树木花草也不要，有失败案例。 服饰箱包 运动类的不要， 针对性过强，很难称心，容易闲置，用处不大。定制歌曲不要，定制小人也不,直接给她转账211，就说祝你高考考上211，对于高中生来说寓意很不错吧（如果她成绩超级好的话就说“祝你考上985，我再送你一个211，你就两个都有啦！”）[大笑 | 你朋友怎么什么都不要[笑哭R] | 我送我好闺闺的 她很喜欢 | 花瓶呢？,yes,2026-06-12
xhs_7c6c03e3e1,小红书,高中生送礼,送礼指南｜敲有趣的古早味数码礼物🎁,初高中生,泛礼物灵感,3C数码/配件,未显式,224,146,7,13,446,no,,,unknown,2026-06-12
xhs_aa06c0df5f,小红书,高中生送礼,520“实用派”送礼好物清单（🈚️广）,初高中生,开学/返校,宿舍生活|个护香氛|服饰鞋包,实用刚需|颜值/可爱,691,320,21,67,1249,yes,一些自用和送礼都受到好评的产品 高颜值的同时也能让对方实实在在地用上 才是我觉得让人暖心的礼物 清单如下： · stanley水杯 · Tom Ford香水 ·chanel发丝喷雾 ·dyson吹风机 ·大疆pocket 4 ·dior墨镜 ·dior 高光盘 ·miumiu 帆布包 ·拉夫劳伦帽子 #礼物推荐[话题]# #让好物成为礼物[话题]# #好物分享[话题]# #年度好物推荐[话题]# #提升生活品质好物分享[话题]# #我的,太多同款了 发喷给到夯 | 这个帽子哪里买啊 | 帽子不错，好看 | 这个miumiu1000？ 不止吧,yes,2026-06-12
xhs_85b77a3b42,小红书,高中生送礼,高中生怎么给不缺钱的好朋友送礼物,初高中生,同学/朋友日常,文具手账|个护香氛|定制纪念|食品零食|运动户外,实用刚需|仪式感/情绪价值|颜值/可爱|定制纪念,3434,946,443,55,5631,yes,如题，为此纠结很久了。本人目前是一名贫穷高中生，没有很多的零花钱，目前单件礼物的预算在300及以下（可以略超预算） 朋友的家境非常好，好到什么都不缺，对很多东西都淡淡的，让我根本不知道送她什么礼物。 以下是她的个人喜好： 1.她喜欢的颜色是窃蓝和挼蓝（在p2）和湛蓝（她色感还挺好的，深一点浅一点都不行） 2.口味比较喜欢厚重浓烈的，喜欢吃豆干、千张等豆制品，还很喜欢巧克力及巧克力味的东西，也特别喜欢吃奥利奥（尤其是巧克力味的） 3.她很,首先非常感谢评论区大家的分享ヾ^_^♪但是我还是想说，这是一个求助帖。我送的礼物肯定有手工但绝对不只有手工。部分人觉得手工制品很廉价，那是因为每个人的消费观不同 | 300去买化妆品的圣诞限定吧 这么多牌子总有一个能碰上 买大牌的 就算颜色不适合 不用摆着也好看 送人礼物永远不能单送手工的 必须要搭着送 除非对方是很懂很喜欢 | 可以送52kikis的真丝发圈，这个牌子和克罗心的关系比较密切（好像是收购了还是在某个店里售卖了来着）但预算超的有点点多，我记得是388一组 | 其实我觉得如果她很有钱的话，可以送点有意义，对她来说是独一无二的东西，因为本人也比较有钱，也打羽毛球，所以不要送羽毛球那些，因为根本不缺，而且化妆品我猜她应该也,yes,2026-06-12
xhs_9b4f773f9f,小红书,高中生送礼,🎓毕业季送礼指南｜送给妹妹的千元满分好物,初高中生,毕业/升学,定制纪念,定制纪念,8,3,4,0,19,no,,,unknown,2026-06-12
xhs_451e425439,小红书,高中生送礼,🎁100个实用礼物(200r以内,初高中生,开学/返校,饰品配件|IP潮玩/玩具|服饰鞋包,平价性价比|实用刚需,10535,8032,26,705,22085,yes,手工整理200r以内的100个实用礼物‼️ 适合学生或者日常小礼物💝 欢迎补充哦🫶 #送礼指南[话题]# #学生党礼物[话题]# #日常礼物[话题]# #实用好物[话题]# #小惊喜[话题]# #购物清单[话题]# #平价实用好物分享[话题]# #开学好物[话题]# #生日礼物推荐[话题]# #节日礼物[话题]# @生活薯,小米的口袋打印机100多块钱哪里能买到 | 你好，想问一下送刚上初中的妹妹什么礼物，不要鞋，300以内或者左右的，最好能是牌子的，求推荐[哭惹R][害羞R] | 南京先锋书店盲盒在哪买 | 来了！[飞吻R],yes,2026-06-12
xhs_c377ea7013,小红书,高中生送礼,211准大一🥰｜高中生好物分享！！（无广版）,大学生,开学/返校,3C数码/配件|文具手账,实用刚需,1167,281,12,21,1587,yes,在享受超长假期的同时终于愿意发出这一期好物分享！ 😽 我发誓这一篇全部无广 全部是本人自己使用后的推荐！所以宝宝们可以放心浏览(^V^) 这一篇基本是比较小巧方便携带的好物推荐 其实我还有很多想分享的这一篇根本放不下🥹所以请期待接下来的 📌高中生文具推荐 📌高中生笔记本推荐 📌高中笔记翻翻看 #无广告纯分享[话题]# #好物安利[话题]# #开学必备的清单[话题]# #高中生好物推荐[话题]#,已经买了小小线圈本啦 | 宝宝特别喜欢你 想看大学学习日常[飞吻R] | ！姐姐看着你从初二到大一[哭惹R] | 好全啊，爱了爱了[飞吻R],yes,2026-06-12
xhs_a30df74760,小红书,高中生送礼,送给妹妹的高中毕业礼物🎁高考实用礼物清单,初高中生,开学/返校,定制纪念,实用刚需|定制纪念,645,283,26,212,1382,no,,,unknown,2026-06-12
xhs_39f4ff080f,小红书,高中生送礼,求求高中生礼物推荐,初高中生,情侣/暧昧送礼,文具手账|IP潮玩/玩具|服饰鞋包,平价性价比|仪式感/情绪价值,13233,5184,924,211,22136,yes,各种同学朋友，关系不错的，关系比较好的，关系很好的 有男有女 不限于生日礼物，有些节日也会送（一些些仪式感很强的同学） 还有亲人！！！ 二编:家人们咱就是说，从没这么火过☺️我把标题和之前的“同学”两个字改了一下 三编：评论区问的多礼物找到啦，右滑查看哟👉 #礼物[话题]# #走心礼物[话题]# #惊喜礼物[话题]# #高中生[话题]#,放假啦上线啦，把所有评论都赞了一遍[害羞R]前几天（五月三十一号）我生日，同学送的礼物我发新的笔记里啦，感兴趣可以看下主页（没有一点拍照技术，轻喷），后头还可能 | 爱踢足球的男朋友送什么 | 我是自个儿买的材料包做的小玩偶 附加一本治愈系漫画 不过这个小狐狸四个多小时看你有没有精力吧.[赞R] | 喜欢二次元，玩恋与深空，无推送什么啊,yes,2026-06-12
xhs_719a8a3334,小红书,高中生送礼,送礼指南｜胖东来礼品搭配指导书,初高中生,情侣/暧昧送礼,文具手账|服饰鞋包,实用刚需,4637,1912,27,564,8022,yes,在学习《胖东来服务思维100个细节》资料，发现了超实用的送礼场景解决方案，存下来，方便以后送礼可以查看！[赞R] 话说，前段时间就亲历一次送礼踩雷事件。跟朋友去看望一位长辈，朋友说AA买东西，由于我是第一次去且他对参加探望活动的人员等情况更熟知，所以基本上他说买什么就买什么了。后来才发现，买的水果和鲜花基本没有踩中要点： 1⃣️水果🍉🍍🫐虽然品质好（价格高），但是探望的长辈基本由于年纪大了身体问题都不能吃，且一起参与探望的人员基本就我们,没有探望男士，哈哈哈 | 探望产妇送鸡蛋礼盒？？？ | 火腿肠[点赞R] | 啥水果啊[笑哭R]盒马都是什么苹果梨桃，这种东西就是卖500也不适合送人,yes,2026-06-12
xhs_e32bd3de22,小红书,高中生送礼,礼物清单 给好朋友准备的21份礼物,初高中生,开学/返校,个护香氛|服饰鞋包,实用刚需|仪式感/情绪价值,4353,1752,29,107,6848,yes,因为她的生日是21号 所以准备了21份礼物 （懒癌晚期 11月的生日 现在才发出来） 在爱的五种语言里 其中一种语言是精心的礼物 感觉这是我最擅长的语言哈哈 从小到大都很喜欢给家人朋友以及身边的人准备礼物 在这个过程中自己也感到特别幸福 通过在日常相处中对对方喜好、需求的了解 以及自己的心意 准备相应的礼物 物化的时间是我最珍贵的礼物 因为不喜欢随着时间会流逝不见的东西（消耗品）所以每次送礼物一定会送可以保存下来的物品（信 书 或是亲手,宝宝，这个包装纸好特别好有质感呀[皱眉R][皱眉R]，可以问问在哪买的吗 | 信在哪儿能买到纸 | 主包主包，眼影盘和口红哪家店买的呀[喝奶茶R] | 做你的朋友好幸福[哭惹R],yes,2026-06-12
xhs_534e349582,小红书,初中生礼物,儿童礼物你还不知道送什么？,初高中生,泛礼物灵感,文具手账|IP潮玩/玩具,实用刚需,3384,1149,30,373,5496,yes,如果你还不知道怎么发现孩子的爱好，不如从孩子的礼物入手，0-15岁儿童礼物列表让你帮助孩子找到他|她的潜力值。,分享你们的觉得有趣的玩具，让孩子的生活更有色彩。 | 买的显微镜，学习生物课也能用到，还是挺有意思的。 | 六年级男孩喜欢什么，想选礼物给外甥 | toy,yes,2026-06-12
xhs_770522a98c,小红书,初中生礼物,7件❗️巨拿得出手✨中考毕业礼物送初三生,初高中生,毕业/升学,定制纪念,定制纪念|社交体面,68,31,2,16,136,no,,,unknown,2026-06-12
xhs_3041308823,小红书,初中生礼物,分享一些适合送给朋友的生日礼物78.0🎁,初高中生,同学/朋友日常,其他礼物/综合,平价性价比|仪式感/情绪价值|颜值/可爱,927,344,4,38,1439,yes,#平价生日礼物[话题]# #女生生日礼物[话题]# #可爱好物[话题]# #小众礼物[话题]# #高颜值礼物[话题]# #提升幸福感的小物[话题]# #创意礼物[话题]# #闺蜜礼物[话题]# #礼物送女生[话题]# #家中好物真心话小会[话题]#,我也在给闺闺找礼物，姐妹们有推荐的可以发我评论区吗[害羞R][害羞R] | 谁懂啊，把自己的经历写成歌，做成相框扫码就能听，每一句都很戳.心 5[飞吻R] | 我给我孩子买了这个手表，他真的很喜欢,yes,2026-06-12
xhs_3f6b12a4e7,小红书,初中生礼物,小朋友礼物🎁初中生礼物✅好用实用学生必备,初高中生,开学/返校,其他礼物/综合,实用刚需,126,49,5,10,214,no,,,unknown,2026-06-12
xhs_ab1a6f5649,小红书,初中生礼物,初中一年级的男孩子一般会喜欢什么礼物🎁？,初高中生,泛礼物灵感,其他礼物/综合,未显式,24,5,48,10,141,no,,,unknown,2026-06-12
xhs_9dd80df872,小红书,初中生礼物,给初中朋友送礼物,初高中生,同学/朋友日常,其他礼物/综合,未显式,309,37,334,4,1031,no,,,unknown,2026-06-12
xhs_451e425439,小红书,初中生礼物,🎁100个实用礼物(200r以内,初高中生,开学/返校,饰品配件|IP潮玩/玩具|服饰鞋包,平价性价比|实用刚需,10535,8032,26,705,22085,yes,手工整理200r以内的100个实用礼物‼️ 适合学生或者日常小礼物💝 欢迎补充哦🫶 #送礼指南[话题]# #学生党礼物[话题]# #日常礼物[话题]# #实用好物[话题]# #小惊喜[话题]# #购物清单[话题]# #平价实用好物分享[话题]# #开学好物[话题]# #生日礼物推荐[话题]# #节日礼物[话题]# @生活薯,小米的口袋打印机100多块钱哪里能买到 | 你好，想问一下送刚上初中的妹妹什么礼物，不要鞋，300以内或者左右的，最好能是牌子的，求推荐[哭惹R][害羞R] | 南京先锋书店盲盒在哪买 | 来了！[飞吻R],yes,2026-06-12
xhs_98e4d4333c,小红书,初中生礼物,儿童挑礼物，实用性价比两手抓,初高中生,毕业/升学,3C数码/配件|IP潮玩/玩具|定制纪念,平价性价比|实用刚需|定制纪念,3846,1132,189,423,6329,yes,给0 - 15岁孩子选礼物可太难了，便宜的怕质量不行，贵的又肉疼，挑来选去，选择困难症都要犯了。选对礼物，不仅能让孩子开心，还能助力成长。要是选错，钱花了不说，孩子不喜欢，放家里还占地方。 别愁啦！今天就给大家分享那些性价比超高的礼物，绝对实用又不贵，不玩虚的，直接上干货，闭眼抄作业就行👇 #儿童节礼物[话题]# #儿童礼物[话题]# #618小红书买买节[话题]# #宝宝礼物[话题]# #益智玩具[话题]# #育儿经验分享[话题]# ,虽然我12岁，但是这里提供的10到15岁的礼物我都不喜欢[捂脸R] | 7岁不知道买什么了，0-15岁的礼物，除了头戴式耳机，另外全买过了[笑哭R]，怎么办，不知道送什么了[笑哭R] | 我想知道12岁女孩喜欢什么，小学毕业礼送什么好 | 显微镜是鸡肋吗,yes,2026-06-12
